 "Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.871889250E0,-1.185189098E0,4.946257954E0,-2.551006873E0
1.896727250E0,-2.099995342E0,6.167322643E0,-3.099777417E0
1.921560250E0,-2.468661704E0,6.421370130E0,-2.447034023E0
1.946398250E0,-2.334164634E0,5.751639404E0,-9.555122939E-1
1.971231250E0,-2.291386405E0,4.326023909E0,8.569995010E-1
1.996069250E0,-1.659349755E0,8.857663402E-1,2.613022442E0
2.020902250E0,-6.507570952E-1,-1.569480097E0,2.786061434E0
2.045740250E0,8.330557376E-1,-5.488648016E0,1.962166529E0
2.070573250E0,1.217307853E0,-6.276010687E0,1.877213502E0
2.095411250E0,8.974505389E-1,-4.733951693E0,1.676752238E0
2.120244250E0,-7.477185488E-2,-2.457142689E0,-5.396909150E-1
2.145082250E0,-6.314320475E-1,6.187093833E-1,-1.617718749E0
2.169915250E0,2.079504944E0,2.717655442E0,-2.945841279E0
2.194753250E0,3.722982432E0,1.016473245E0,5.314554187E0
2.219586250E0,2.951962729E0,-3.258837178E0,1.367411141E0
2.244424250E0,1.904917610E-1,5.366257607E0,-2.040605903E0
2.269257250E0,-6.211467952E-1,1.029376939E1,-1.745299147E0
2.294095250E0,-8.448671132E-1,6.220237606E0,-3.389923275E0
2.318928250E0,4.443076980E-1,2.793953421E0,-2.644053323E0
2.343766250E0,-8.670894563E-2,-7.626831816E-1,-1.464605899E0
2.368599250E0,1.759573370E-1,-7.762433133E-1,-1.348245869E0
2.393437250E0,-5.217371124E-1,5.091166283E-1,-2.514237242E0
2.418270250E0,-3.507955170E-1,1.008187886E0,-1.577391380E0
2.443108250E0,4.085356021E-1,1.800680758E-1,-5.484504095E-1
2.467941042E0,2.864176726E-1,6.556519456E-2,1.977639431E-1
2.492779042E0,-5.307225287E-1,-3.813258033E-2,-4.935865697E-1
2.517612042E0,-6.033619040E-1,-7.000561398E-1,-5.489059076E-1
2.542450042E0,-2.295219254E-1,-3.374296591E-1,2.473226041E-2
2.567283042E0,-3.068952066E-1,-4.502250803E-1,-1.453068173E-1
2.592121042E0,-5.324088657E-1,-1.044963218E0,2.636535850E-1
2.616954042E0,-1.177798802E0,-1.523911722E0,1.928557903E-1
2.641792042E0,-3.422866488E-1,-1.327818182E0,2.914442316E-1
2.666625042E0,-7.017594337E-2,-1.498094365E0,3.616362548E-1
2.691463042E0,-3.525110900E-1,-2.074532764E0,6.376856446E-1
2.716296042E0,1.125296652E-1,-2.033838482E0,1.583917165E-1
2.741134042E0,2.558700639E-1,-1.125575418E0,1.209174961E-2
2.765967042E0,6.359735799E-1,-1.150631322E0,-2.883317587E-1
2.790805042E0,1.532239473E-1,-2.770278629E0,-5.445742902E-1
2.815638042E0,3.215933526E-1,-4.349094391E0,2.596660763E-2
2.840476042E0,1.711261336E0,-5.611878086E0,3.918450174E-1
2.865309042E0,3.061460613E0,-6.856562018E0,9.748781991E-1
2.890147042E0,2.688433397E0,-9.424855599E0,3.170409443E0
2.914980042E0,3.322614806E0,-8.303473073E0,5.247631634E0
2.939818042E0,9.380617905E-1,-2.137820541E0,4.539505460E0
2.964651042E0,3.702755159E-1,7.139902740E-1,1.730987795E-1
2.989489042E0,5.485531451E0,1.773567804E0,-2.209188001E0
3.014322042E0,3.811401688E0,1.904755934E0,-1.935931388E0
3.039160042E0,6.334306258E-1,-5.910660135E-1,-1.695598984E0
3.063993042E0,1.220046689E0,-1.569879023E0,-2.099632230E0
3.088831042E0,1.491553377E0,1.840885482E0,-2.586621094E0
3.113664042E0,8.511528701E-1,3.517338197E0,-3.882176971E0
3.138502042E0,-4.616131175E-1,5.197868321E0,-3.458836219E0
3.163335042E0,-1.220587556E0,4.810658976E0,-2.830984422E0
3.188173042E0,-1.599844980E0,4.286501994E0,-2.215728697E0
3.213006042E0,-1.563300467E0,4.997423429E0,-2.088152976E0
3.237844042E0,-2.201136385E0,6.295170844E0,-2.983672764E0
3.262677042E0,-2.091049102E0,6.805142773E0,-2.349391369E0
3.287515042E0,-2.031406918E0,5.649927088E0,2.095283948E-2
3.312348042E0,-2.340451561E0,3.834715414E0,1.040956341E0
3.337186042E0,-2.038614196E0,1.099434417E0,6.830787492E-1
3.362019042E0,-1.610755885E-1,-1.166877665E0,2.045082386E0
3.386857042E0,2.365616223E0,-7.289108627E0,2.296275262E0
3.411690042E0,2.988890235E0,-9.532772981E0,4.043485279E0
3.436528042E0,3.596031779E-1,-8.049498677E0,7.515085678E-1
3.461361042E0,-9.565343142E-1,-4.080285023E0,-2.064410942E0
3.486199167E0,-3.513878399E-1,3.300428715E0,-1.838037011E0
3.511032167E0,4.507933127E0,7.851983825E0,6.723514473E-1
3.535870167E0,3.140690385E0,-1.978636673E0,4.158946738E0
3.560703167E0,3.470813071E0,-5.397351930E0,-3.368709576E0
3.585541167E0,-1.321581835E0,1.073085460E1,-4.112555514E0
