Time (s)	X (m/s^2)	Y (m/s^2)	Z (m/s^2)
0.021858917	0.069896446	-0.190924601	-0.142080616
0.046694917	-0.014971211	0.016444271	0.056848677
0.071525917	-0.088390605	-0.03583086	0.044979122
0.096361917	-0.065450808	-0.10927876	-0.027213819
0.121192917	-0.060064353	-0.121626471	-0.00361241
0.146028917	-0.036668474	-0.17010062	0.048028152
0.170859917	-0.019882287	-0.109934817	0.00636791
0.195695917	-0.036091354	0.034369787	-0.081429787
0.220526917	-0.039435961	-0.000409451	-0.058164885
0.245362917	-0.064319372	0.052010983	0.037392944
0.270193917	-0.035111361	0.043902211	0.025360251
0.295029917	-0.074683562	0.024279394	0.024643675
0.319859917	-0.058053496	0.060202055	-0.020793868
0.344696917	0.00031575	0.111728962	-0.083559928
0.369526917	-0.07206284	0.071993989	-0.129733635
0.394363917	0.001105708	0.077590651	-0.098943367
0.419193917	-0.113597952	-0.01017284	-0.024569123
0.444030917	-0.044022517	0.059564416	-0.033303401
0.468860917	-0.055499432	0.031972721	-0.016560777
0.493697917	-0.043966969	-0.032639012	-0.07918738
0.518527917	-0.034408525	-0.070934181	-0.078055944
0.543363917	-0.053456415	-0.097884656	-0.029007452
0.568194917	-0.056686417	-0.083649975	0.0341875
0.593030917	-0.090913094	-0.075919517	0.050008604
0.617861917	-0.059597746	-0.028834082	0.033129154
0.642697917	-0.038761193	0.071244961	0.025671323
0.667528917	-0.077704234	0.06282497	0.013629567
0.692364917	-0.068166255	0.111633579	-0.003515346
0.717195917	-0.060461379	0.098292718	-0.002246793
0.742031917	-0.055761972	-0.001130705	0.002266966
0.766862917	-0.014126288	-0.005186919	0.018674545
0.791698917	-0.027536877	-0.096735386	-0.051838783
0.816529917	-0.046301177	-0.151279602	-0.039605238
0.841365917	-0.018998773	-0.134918508	0.00502422
0.866196917	-0.012777336	-0.110443233	-0.009165803
0.891032917	-0.044245296	-0.063537015	-0.051263709
0.915863917	-0.049332374	0.002532283	-0.032404392
0.940699917	-0.036116497	0.106270367	-0.016981776
0.965530917	-0.064717568	0.126820845	-0.00503913
0.990367417	-0.053663406	0.128485401	-0.020954374
1.015198417	-0.033231481	0.07542075	-0.042532939
1.040034417	-0.052788663	0.034489363	-0.02446972
1.064865417	-0.058883801	0.00820876	-0.002678317
1.089701417	-0.046452035	-0.073843536	0.011371957
1.114532417	-0.045465025	-0.091063659	0.035339402
1.139368417	-0.028174224	-0.015680624	0.002333916
1.164199417	-0.05991408	0.019909477	-0.022054528
1.189035417	-0.070574723	-0.01301963	0.004785654
1.213866417	-0.041901147	-0.007423186	0.023684439
1.238702417	-0.089154251	0.031085479	0.006945907
1.263533417	-0.05020127	0.038802415	0.013805276
1.288369417	-0.071798546	0.040343668	0.013154481
1.313200417	-0.083616353	0.006705441	-0.015663814
1.338036417	-0.065731475	0.014252077	0.00760635
1.362867417	-0.02953721	0.065147923	0.021641715
1.387703417	0.00389483	0.086181965	0.013829542
1.412534417	-0.015416769	0.054435531	0.020744752
1.437370417	-0.023630937	-0.014904991	0.006647407
1.462201417	0.037428027	-0.006262076	-0.026253998
