"event","experiment time","system time","system time text"
"START",0.000000000E0,1649325786.983,"2022-04-07 12:03:06.983 UTC+02:00"
"PAUSE",1.013728403E2,1649325888.356,"2022-04-07 12:04:48.356 UTC+02:00"
