"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.648721769344446E9,"2022-03-31 12:16:09.344 UTC+02:00"
"PAUSE",1.511466025416739E2,1.648721920491091E9,"2022-03-31 12:18:40.491 UTC+02:00"
