Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,0.117612824,0.0573349,0.503017902
0.01,-0.008996345,0.080932617,0.44202894
0.02,-0.010566317,0.080659866,0.437443316
0.03,-0.012650169,0.032577515,0.214116246
0.04,-0.077522904,-0.027387619,0.035266221
0.05,-0.077893734,-0.048993111,0.003645599
0.06,-0.147514582,0.080294609,-0.098901808
0.07,-0.098969936,0.097100258,0.081773937
0.08,0.006005742,0.032426834,0.455253869
0.09,0.091085352,-0.018006325,0.647063673
0.1,-0.012995057,-0.063703537,0.540752351
0.11,-0.015292481,-0.06385231,0.538565457
0.12,-0.314514339,-0.039930344,0.17891559
0.13,-0.20923169,-0.109343529,0.013742507
0.14,-0.114572398,-0.149961472,-0.418120503
0.15,-0.016898021,-0.140227318,-0.321892738
0.16,-0.019107148,-0.140319824,-0.323212683
0.17,-0.014593653,-0.018587112,0.199364573
0.18,0.009150617,0.110216141,0.55695349
0.19,0.007832013,0.109867096,0.550584972
0.2,-0.037520319,0.138376236,0.469698995
0.21,-0.084343702,0.150257111,0.371870756
0.22,-0.056918949,0.030570984,0.187918216
0.23,-0.058382057,-0.021950722,0.298373461
0.24,-0.009103887,-0.038545609,0.193752736
0.25,0.111151956,-0.055010796,-0.066507518
0.26,0.122641131,-0.066568375,-0.14257282
0.27,0.102560282,0.032039642,-0.062384963
0.28,0.080090202,0.085102081,0.076414764
0.29,0.078919806,0.085430145,0.082508147
0.3,0.117195368,0.097745895,0.120070726
0.31,0.113892272,0.131594658,0.37280643
0.32,0.070800692,0.0983181,0.509062171
0.33,-0.065619633,0.033889771,0.513118208
0.34,-0.067173585,0.034152985,0.517760754
0.35,-0.101573318,0.015395164,0.287372917
0.36,-0.173603445,0.004087448,-0.364719987
0.37,-0.343126833,0.035937309,-0.312040865
0.38,-0.308415592,0.036572456,-0.256477058
0.39,-0.307559252,0.037083626,-0.248648882
0.4,-0.01094868,0.037454605,0.17860806
0.41,-0.061781041,0.037790298,0.41363743
0.42,-0.084358312,0.030953407,0.58875066
0.43,-0.012470849,0.009778976,0.421882093
0.44,-0.069459952,-0.004113197,0.119992673
0.45,-0.068907939,-0.060923576,0.014331341
0.46,0.036669947,-0.144061089,-0.095632911
0.47,0.11945688,-0.176907539,-0.086232245
0.48,0.041443698,-0.205142975,-0.160469472
0.49,0.043181516,-0.204660416,-0.154058039
0.5,-0.016478293,-0.003160477,-0.113111854
0.51,-0.015022397,-0.002983093,-0.11069119
