Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,-0.135404378,0.13006115,0.13442117
0.01,-0.05363977,0.027132034,0.076936051
0.02,-0.075751185,-0.035148621,0.055463165
0.03,-0.234177142,-0.035180092,0.133780554
0.04,-0.195368022,-0.018432617,0.193882555
0.05,-0.195110619,-0.018468857,0.191771343
0.06,-0.108727276,-0.006507874,0.166232973
0.07,-0.041467011,-0.004130363,0.171844751
0.08,-0.078993082,0.024598122,0.220707938
0.09,-0.07812351,0.024609566,0.219367638
0.1,0.075673193,-0.020868301,0.161668435
0.11,0.166442066,-0.042406082,0.16964528
0.12,0.151445329,0.0246315,0.238018513
0.13,0.074447393,0.012663841,0.270014644
0.14,0.034156054,-0.087863922,0.108719245
0.15,-0.130017012,-0.013543129,-0.089967892
0.16,-0.252429277,0.027297974,-0.132593676
0.17,-0.167147994,-0.008502007,0.001494929
0.18,0.02883932,-0.099484444,0.153232426
0.19,-0.03328526,-0.070860863,0.628942967
0.2,-0.035119295,-0.071007729,0.626019716
0.21,-0.011878401,-0.097420692,0.347535729
0.22,-0.037028372,-0.073411942,-0.003615528
0.23,-0.034974843,-0.073266983,-0.000123128
0.24,-0.074332267,-0.056361198,-0.297034264
0.25,-0.041297257,0.010708809,0.171606869
0.26,-0.028660029,0.027338982,0.480271697
0.27,-0.031873822,0.027121544,0.475496352
0.28,0.06098029,0.026929855,0.469286263
0.29,-0.047984391,0.026820183,0.463931382
0.3,-0.148463696,-0.02826786,0.223135531
0.31,-0.147434086,-0.028208733,0.223791331
0.32,-0.131588966,-0.023329735,0.125392377
0.33,0.003443956,-0.12141037,0.15410021
0.34,0.004099458,-0.097411156,0.141315624
0.35,0.004230946,-0.097374916,0.142917156
0.36,0.015949249,-0.142864227,0.222671285
0.37,0.010706782,-0.207538605,0.155671671
0.38,0.012396336,-0.152485848,0.117830575
0.39,-0.031998843,-0.071153641,0.134031683
0.4,-0.03314507,-0.071228981,0.132190511
0.41,-0.07516399,0.022063255,0.268491894
0.42,-0.045304567,-0.021152496,0.272466123
0.43,-0.108912915,-0.052381516,0.178685531
0.44,-0.134041369,-0.066837311,0.128520235
0.45,-0.135895371,-0.066959381,0.125881851
0.46,-0.073926598,-0.05753994,0.115944848
0.47,-0.076888591,-0.052909851,0.149142474
0.48,-0.058159828,-0.036320686,0.15068233
0.49,-0.060703874,-0.036478043,0.147449821
0.5,-0.097875685,-0.055713654,0.161516994
0.51,-0.163307011,-0.062970161,0.169056922
0.52,-0.113449812,-0.118061066,0.230171397
0.53,-0.113845766,-0.118081093,0.22933805
0.54,-0.057215571,-0.137268066,0.234667778
0.55,0.027683824,-0.125329018,0.164292082
0.56,-0.00956583,-0.046352386,0.129698038
0.57,-0.157279044,-0.003288269,0.092221521
0.58,-0.308814406,0.114005089,-0.036164105
0.59,-0.215224385,0.097276688,-0.113854751
0.6,-0.051611543,0.025415421,0.0454887
0.61,-0.055297613,0.025271416,0.045290962
0.62,0.135964617,-0.025289536,0.875804305
0.63,0.138812304,-0.030345917,0.76339221
0.64,-0.00991556,0.024543762,0.290330052
0.65,-0.156467587,0.024496078,-0.161600187
0.66,-0.223452151,0.017350197,-0.377459824
0.67,-0.225017756,0.017326355,-0.375377893
0.68,-0.115343869,0.038621902,0.486545146
0.69,-0.084538609,0.026364326,0.742214739
0.7,-0.03091839,-0.009785652,0.59099859
0.71,-0.047647536,-0.103307724,0.241496712
0.72,-0.141897947,-0.117712975,0.068154976
0.73,-0.119869292,-0.124882698,0.066184357
0.74,-0.119750738,-0.124873161,0.066497386
0.75,0.030281186,-0.055441856,0.13431181
0.76,0.029280186,-0.055492401,0.13461265
0.77,-0.076732904,0.040272713,0.20000419
0.78,-0.074344307,0.030740738,0.106495358
0.79,-0.074125916,0.030787468,0.11150796
0.8,-0.102888137,-0.002650261,0.066388093
0.81,-0.134118855,-0.002603531,0.084839195
0.82,-0.050842613,-0.007370949,0.10665223
0.83,-0.040438116,0.002189636,0.101664528
0.84,-0.042265952,0.002145767,0.103402525
0.85,-0.034170628,-0.000276566,0.141008839
0.86,-0.064173907,-0.009871483,0.204845667
0.87,-0.14851141,-0.079313278,0.284907639
0.88,-0.129694104,-0.12001133,0.096483052
0.89,-0.131045252,-0.120038033,0.097735554
0.9,-0.087542027,-0.167995453,0.009234503
0.91,-0.056258738,-0.0747118,0.148544207
0.92,-0.037603289,-0.024568558,0.165003538
0.93,0.021492332,0.035143852,0.174290538
0.94,-0.00314641,0.070934296,0.275772631
0.95,0.031111985,0.054129601,0.230049104
0.96,0.027585506,0.075662613,0.108949497
0.97,-0.044701636,0.109197617,0.092671424
0.98,-0.044812471,0.109253883,0.095979244
0.99,-0.076176316,0.04464817,0.099923939
1,-0.172164708,0.025550842,0.103437126
1.01,-0.138212025,0.04237175,0.016178831
1.02,-0.067075789,0.013695717,-0.029964551
1.03,0.164851859,-0.139564514,0.172093779
1.04,0.219519377,-0.221130371,0.423759759
1.05,0.15328075,-0.235740662,0.588166058
1.06,0.023541212,-0.188089371,0.504699409
1.07,0.073987454,-0.130841255,0.131280392
1.08,0.090819329,-0.016083717,-0.194299728
1.09,0.086415648,-0.01620388,-0.194241062
1.1,-0.116899043,0.191943169,0.389077514
1.11,-0.13383171,0.127111435,0.710376561
1.12,-0.139287323,0.126887322,0.706266582
1.13,-0.057741672,-0.031293869,0.246322125
1.14,-0.054269731,-0.072081566,-0.024225786
