Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,-0.013238251,0.097253799,0.358363748
0.01,0.114887595,0.096136093,0.677216649
0.02,-0.025000632,0.051700592,0.68233794
0.03,-0.219947577,0.093757629,0.561095119
0.04,-0.257106066,0.107430458,0.197233379
0.05,-0.364892304,0.092931747,-0.075458884
0.06,-0.466513932,0.093281746,-0.123620927
0.07,-0.478009403,0.067663193,-0.171587229
0.08,-0.44532752,0.054279327,-0.167176962
0.09,-0.302536309,0.021838188,-0.25758177
0.1,-0.294880867,0.022845268,-0.254481792
0.11,-0.157002389,0.061828613,0.256331265
0.12,0.051088274,0.093307495,0.329290777
0.13,0.103041828,0.098119736,0.430879712
0.14,0.084845066,0.098115921,0.417547137
0.15,-0.028964818,0.086096764,0.415635318
0.16,-0.046588779,-0.026499748,0.374884218
0.17,-0.044981658,-0.026584625,0.371956796
0.18,-0.076875627,-0.189411163,-0.032480776
0.19,-0.10220468,-0.213349342,-0.062221527
0.2,-0.123405278,-0.146593094,0.189965248
0.21,-0.008554339,-0.049054146,0.357241005
0.22,0.074528039,0.053116798,0.348417193
0.23,0.078748465,0.095525742,0.276016772
0.24,0.019132078,0.10459137,0.195114672
0.25,0.010620296,0.149741173,0.10578388
0.26,-0.045277238,0.104154587,0.174336731
0.27,0.018354297,0.094549179,0.12915653
0.28,0.030991375,0.094658852,0.122372031
0.29,-0.002206683,0.080476761,0.167370737
0.3,-0.004598916,0.066248894,0.181253791
0.31,-0.004944324,0.06634903,0.182881832
0.32,0.025068879,0.059146881,0.155474067
0.33,0.0927338,0.01594162,0.216046989
0.34,0.090063691,0.015557289,0.214566648
0.35,0.069606066,-0.08089447,0.27521193
0.36,0.086675406,-0.170389175,0.391348869
0.37,0.029933035,-0.094723701,0.522925198
0.38,0.05079186,0.019306183,0.388303608
0.39,0.014910579,0.054608345,0.198986948
0.4,0.017863095,0.073493958,0.075576186
0.41,0.015413642,0.073297501,0.076145649
0.42,0.04778558,0.053742409,0.159252048
0.43,0.077496409,0.089045525,0.407402396
0.44,-0.085498869,0.093424797,0.307078779
0.45,-0.167989135,0.088545799,0.144344688
0.46,-0.167581439,0.088703156,0.146026194
0.47,-0.216032207,0.007514,0.216090322
0.48,-0.220050156,-0.066384315,0.340653211
0.49,-0.060585201,-0.116247177,0.216777265
0.5,-0.018784881,-0.132557869,0.136832357
0.51,-0.015805602,-0.132124901,0.138686001
0.52,0.065120995,-0.10306263,0.10974288
0.53,0.09953016,-0.052601814,0.175538063
0.54,0.053751111,0.040822029,0.171701431
0.55,0.053260088,0.040919304,0.173592925
0.56,-0.04344964,0.091322899,0.188435733
0.57,-0.11810267,0.091440201,0.283893794
0.58,-0.125139356,0.086736679,0.234504998
0.59,-0.129382253,-0.039991379,0.121081889
0.6,-0.152285397,-0.08039093,0.063849092
0.61,-0.213336885,-0.048930168,0.042774439
0.62,-0.212448955,-0.094042778,-0.003890395
0.63,-0.154236138,-0.134291649,0.032166958
0.64,-0.154203117,-0.133922577,0.036755741
0.65,-0.080014765,-0.035538673,0.295764923
0.66,-0.079959214,-0.035411835,0.297286868
0.67,-0.024818182,-0.06401062,0.277222931
0.68,-0.062693179,-0.071115494,0.397520781
0.69,-0.006526172,-0.07581234,0.318248898
0.7,0.003853738,-0.078157425,0.267697454
0.71,0.004501402,-0.078079224,0.267911553
0.72,-0.05682385,-0.034856796,0.177340746
0.73,-0.082737386,-0.0035429,0.030718625
0.74,-0.132879794,0.013504982,-0.071398199
0.75,-0.182613969,0.071294785,-0.01757288
0.76,-0.064353764,0.045300484,0.030940175
0.77,-0.064958692,0.045516968,0.034358025
0.78,-0.011422694,-0.055016518,0.391038269
0.79,0.116457999,-0.086274147,0.417345911
0.8,0.115472496,-0.086380959,0.417108029
0.81,-0.044483006,-0.045607567,0.142267823
0.82,-0.043103516,-0.045167923,0.145858228
0.83,-0.026695251,-0.018328667,-0.055823207
0.84,0.095425427,-0.049350739,0.285915792
0.85,0.09115845,-0.049836159,0.284897566
0.86,0.010600805,-0.014669418,0.455361456
0.87,0.00779748,-0.01531601,0.450820774
0.88,-0.249789059,-0.032453537,-0.052449286
0.89,-0.22834456,-0.030184746,-0.092442453
0.9,-0.115947187,0.00569725,-0.047132552
0.91,-0.063918591,0.010489464,0.039730728
0.92,-0.064804733,0.010547638,0.041813791
0.93,0.113290072,0.008241653,0.123545706
0.94,0.112356544,0.008504868,0.127789497
0.95,0.025630176,0.004031181,0.141661048
0.96,-0.082032979,0.035464287,0.202809215
0.97,-0.153410256,0.038183212,0.318649828
0.98,-0.076452971,0.026596069,0.241469145
0.99,-0.037766993,0.031887054,0.113012552
1,-0.155641019,0.063596725,0.132117391
1.01,-0.256655037,0.085771561,-0.063868165
1.02,-0.259379327,0.052923203,-0.046417594
1.03,-0.257549763,0.053580284,-0.040821552
1.04,-0.255935073,-0.063124657,0.045801818
1.05,-0.187031865,-0.069690704,0.112937212
1.06,-0.037551403,-0.136321068,0.066222906
1.07,0.032007992,-0.071358681,0.086430311
1.08,0.034098864,-0.025680542,0.201396883
1.09,0.069718719,0.000748634,0.169338703
1.1,0.076108933,0.019984245,0.235727906
1.11,0.077188909,0.000880241,0.232892036
1.12,0.082742631,-0.068615913,0.068845034
1.13,0.061129391,-0.059080124,-0.000942647
1.14,0.077181518,-0.121377945,-0.100966632
1.15,-0.029662013,-0.095112801,0.026896894
1.16,-0.045145512,-0.131138802,0.043565154
1.17,-0.034265935,-0.078759193,0.01063931
1.18,-0.037391961,-0.079044342,0.010756493
1.19,-0.030557394,0.133748055,0.178027391
1.2,-0.062838256,0.099889755,0.165922165
1.21,-0.04111135,0.027547836,0.440365613
