Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,-0.050944865,0.01759243,0.194001794
0.01,-0.029554009,0.049387932,0.181581974
0.02,0.034953386,0.071595192,0.056560516
0.03,0.037004173,0.072264671,0.061018109
0.04,-0.061731935,0.024981499,0.10082686
0.05,-0.059712708,0.025508881,0.104004264
0.06,-0.004593313,0.112443924,0.149510026
0.07,-0.124106348,0.050830841,0.294710696
0.08,0.129876673,0.04665184,0.544979513
0.09,0.05644384,-0.087076187,0.422808945
0.1,0.056915849,-0.086734772,0.42522186
0.11,-0.030555874,-0.146104813,0.033362031
0.12,0.005005389,-0.062117577,0.220849156
0.13,-0.045795828,-0.061843872,-0.304513693
0.14,-0.0778386,-0.063448906,-0.306377411
0.15,-0.019850492,0.032970428,0.169888496
0.16,-0.018345296,0.116920471,0.3844257
0.17,-0.019967645,0.116810799,0.384138763
0.18,-0.234199077,0.119175911,0.197564721
0.19,-0.234467089,0.119348526,0.198950648
0.2,-0.178669006,0.095828056,0.170722008
0.21,-0.095671117,0.038866043,0.269640565
0.22,-0.016589105,-0.010778427,0.270972729
0.23,-0.003192157,-0.024355888,0.328027606
0.24,0.087078482,-0.064284325,0.195804
0.25,0.011807203,-0.113695145,0.042743444
0.26,-0.006121039,-0.187005043,-0.035749316
0.27,-0.007808447,-0.188548088,0.014677644
0.28,-0.005335033,-0.187823296,0.018910646
0.29,-0.025294185,-0.125072479,0.091425061
0.3,-0.038336784,-0.004820824,0.034891129
0.31,-0.135002703,0.062766075,0.021583438
0.32,-0.069166601,0.125552177,0.065552354
0.33,-0.11575073,0.075702667,0.154367924
0.34,-0.078682721,-0.036514282,0.170537949
0.35,-0.077310026,-0.036218643,0.172106862
0.36,-0.085670412,-0.081497192,0.118100524
0.37,-0.110705137,-0.090909004,0.140289068
0.38,-0.1139853,-0.074039459,0.200294495
0.39,-0.097889423,-0.093280792,0.132007957
0.4,-0.11099577,-0.093447685,0.140069962
0.41,-0.099746943,-0.107901573,0.086089015
0.42,-0.097899258,-0.10789299,0.085440755
0.43,-0.067291617,-0.062343597,0.188192248
0.44,-0.074433923,-0.071805954,0.20240593
0.45,-0.093040764,-0.093141556,0.248251438
0.46,-0.08977443,-0.092834473,0.249147534
0.47,-0.005483031,-0.054185867,0.195400715
0.48,0.073399395,-0.075414658,0.256616592
0.49,-0.01840204,-0.11353302,0.192710042
0.5,-0.13666153,-0.079894066,0.044533372
0.51,-0.156772971,-0.022361755,0.147459626
0.52,-0.112912595,-0.005759239,0.110108852
0.53,-0.070331216,0.001122475,0.187295556
0.54,0.083488703,0.036477089,0.962162733
0.55,0.054239333,-0.086933136,0.587669969
0.56,-0.0226717,-0.128840447,0.343021631
0.57,-0.119162858,-0.055862427,0.116514444
0.58,-0.119309545,-0.056891441,0.109091044
0.59,-0.118118465,0.004782677,-0.181952357
0.6,-0.093789339,0.076125145,-0.086560607
0.61,0.049315721,0.221378326,0.682091773
0.62,-0.080513358,0.215579033,0.608783662
0.63,-0.026145279,0.119048119,0.15332973
0.64,-0.168702245,0.073254585,0.11577487
0.65,-0.16863972,0.073004723,0.113865733
0.66,-0.068136275,-0.006106377,0.127587915
0.67,-0.025431514,0.03455925,0.251848221
0.68,-0.05938071,0.044109344,0.409790218
0.69,-0.047053337,0.039307594,0.230079293
0.7,-0.048842072,0.029886246,-0.001218319
0.71,-0.119960129,0.018366814,0.07834959
0.72,-0.068604231,0.011647224,0.143656135
0.73,-0.031839669,-0.004615784,0.079962254
0.74,-0.045176566,0.041611671,0.065719724
0.75,-0.096648514,0.047162056,0.080507874
0.76,-0.100041807,0.059928894,0.088138342
0.77,-0.12262702,0.04638958,0.086450577
0.78,-0.092601001,0.035259247,0.058483005
0.79,-0.017047226,0.026560783,0.083457351
0.8,-0.059461176,0.034534454,0.131932497
0.81,-0.070924878,0.025642395,0.09122324
0.82,-0.183170259,-0.002465248,0.10501647
0.83,-0.091641903,0.000394821,0.062631965
0.84,-0.091370642,0.000778198,0.065300345
0.85,-0.007594168,-0.022859573,0.077025056
0.86,-0.010590494,0.013074875,0.204282761
0.87,-0.010763466,0.013056755,0.20421207
0.88,-0.010891497,0.013175964,0.157259464
0.89,0.003516257,0.032540321,0.180220723
0.9,-0.041807175,0.027944565,0.327651501
0.91,0.063955039,0.025693893,0.239840746
0.92,0.051926672,0.061957359,0.168083787
0.93,0.011389136,0.009685516,0.144528508
