Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,-0.329721153,-0.037219048,0.251241028
0.01,-0.162591279,-0.103460312,0.288964093
0.02,-0.091634989,-0.093016624,0.116600037
0.03,-0.087400556,-0.091990471,0.125717461
0.04,0.050238818,-0.086033821,-0.095943868
0.05,-0.05771637,-0.118449211,-0.099479556
0.06,-0.056389511,-0.117488861,-0.090143561
0.07,-0.023142755,-0.090477943,0.015389025
0.08,-0.046317935,0.075193405,0.121930003
0.09,-0.103091896,0.101847649,0.176357567
0.1,-0.109924376,0.092494965,0.244438767
0.11,-0.112291157,0.092654228,0.247376025
0.12,-0.073951244,0.076081276,0.159578025
0.13,-0.138055325,-0.108053207,0.038629055
0.14,-0.139517486,-0.107748985,0.042484522
0.15,-0.174054265,-0.076323509,-0.011373281
0.16,-0.303300381,0.017310143,0.062995315
0.17,-0.196854174,0.070280075,0.012795508
0.18,-0.066952765,0.065867424,-0.000456095
0.19,-0.016650379,0.042280197,0.211342394
0.2,-0.016986012,0.042512894,0.213930666
0.21,0.051710427,0.023631096,0.276967347
0.22,0.225127667,0.021629334,0.12601161
0.23,0.035382718,0.019543648,0.22265929
0.24,0.06548816,-0.135910034,0.133988023
0.25,-0.158767998,-0.130887032,0.091631055
0.26,-0.159502029,-0.130648613,0.094323337
0.27,-0.157549977,-0.037047386,-0.142683625
0.28,-0.059192717,-0.135053635,-0.101611614
0.29,-0.070007592,-0.216542244,0.181999445
0.3,0.004778951,-0.185818672,0.553440571
0.31,-0.09062016,-0.184139252,0.400214195
0.32,-0.053228319,-0.136768341,0.068723559
0.33,0.032889366,-0.041172981,-0.142437875
0.34,0.030280799,-0.041248322,-0.141845763
0.35,0.068029433,-0.007850647,0.143195093
0.36,0.028568298,0.058830261,0.500588536
0.37,0.082191885,0.062966347,0.776217341
0.38,0.10200572,-0.028896332,0.570651293
0.39,0.038306624,-0.084560394,0.264718473
0.4,-0.165457577,-0.041805267,0.145108283
0.41,-0.080277383,-0.118613243,-0.03105849
0.42,-0.081532478,-0.118638039,-0.030700803
0.43,-0.014065146,-0.128221512,-0.025103867
0.44,0.091593683,-0.09496212,0.543237805
0.45,0.125490934,-0.06415081,0.311020076
0.46,0.073070198,-0.06913662,0.137638629
0.47,-0.106118947,-0.057268143,0.065701067
0.48,-0.169940293,-0.054989815,-0.006349325
0.49,-0.224432737,-0.076589584,-0.00368619
0.5,-0.064171433,-0.055113792,-0.096572459
0.51,-0.00552842,0.009466171,-0.078917086
0.52,-0.008714944,0.009419441,-0.07796669
0.53,-0.209452957,0.069194794,0.271703303
0.54,-0.105004191,-0.038690567,0.2227633
0.55,-0.106153667,-0.038734436,0.222789049
0.56,-0.012455344,-0.160813332,0.01822114
0.57,-0.07474035,-0.153693199,0.078367949
0.58,0.005779386,-0.134737015,0.118603528
0.59,0.001162529,-0.135004044,0.117903292
0.6,-0.068751037,0.032268524,0.351509392
0.61,-0.044356883,0.072528839,0.336998284
0.62,0.135179967,0.110456467,0.196213126
0.63,0.067535579,0.076638222,0.087857604
0.64,0.014574558,0.071706772,0.153050661
0.65,0.155904263,0.030825615,0.189022064
0.66,0.110227764,-0.019678116,0.277425587
0.67,0.105969667,-0.019935608,0.276423097
0.68,-0.100187212,0.008734703,0.018318355
0.69,-0.197157502,0.071208,-0.201535225
0.7,-0.261985004,0.071606636,-0.235676587
0.71,-0.262584716,0.071925163,-0.232274056
0.72,-0.00613156,-0.02139473,0.408354521
0.73,0.011532009,-0.021697998,0.71799463
0.74,0.008746922,-0.022076607,0.715170205
0.75,0.123601481,-0.060596466,0.055680811
0.76,0.011985689,-0.067695618,-0.239808798
0.77,-0.056294501,-0.01961422,-0.266110718
0.78,-0.020279318,0.068934441,0.134225309
0.79,0.101189792,0.046750069,0.589461505
0.8,0.049786448,0.062688828,0.810751438
0.81,-0.062675059,0.069103241,0.478887975
0.82,-0.065404773,0.0686903,0.475580156
0.83,-0.152640432,0.054231644,0.113649547
0.84,-0.219077945,-0.031748772,-0.255527198
0.85,-0.132688075,-0.079360008,-0.161837816
0.86,-0.092528731,-0.02178669,0.1483289
0.87,-0.021247298,-0.005084038,0.385059297
0.88,0.088022619,-0.014811516,0.223372221
0.89,0.127551287,0.001927376,0.075034082
0.9,0.043052882,-0.012317657,0.011932433
0.91,-0.143695742,0.042943001,0.164644539
0.92,-0.102255106,0.06938839,0.096144617
0.93,0.086990356,0.06483078,-0.105109513
0.94,0.08369872,0.050807953,-0.110800743
0.95,0.083490908,0.051130295,-0.10744679
0.96,-0.292696863,0.116041184,0.313629925
0.97,-0.30407241,0.121149063,0.29422307
0.98,-0.301457703,0.121548653,0.297235131
0.99,-0.075200945,0.050198555,0.129270434
1,-0.038817614,-0.092930794,0.0791682
1.01,-0.112201035,-0.056622505,0.128340185
