Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,-0.36017409,0.197684288,-0.635558188
0.01,-0.372142464,0.198794365,-0.652307093
0.02,-0.05983948,-0.027345657,0.240458906
0.03,-0.067590535,-0.02581501,0.218010485
0.04,-0.876675606,0.040214539,1.433227539
0.05,-0.726627708,0.144089699,1.328935862
0.06,-0.5423401,0.041565895,0.715038121
0.07,-0.25172028,-0.180999756,0.19931531
0.08,0.346727073,-0.288561821,-0.153729677
0.09,0.334451556,-0.287978172,-0.159623265
0.1,0.870470226,-0.344078064,0.204422414
0.11,0.352176011,-0.136525154,1.246789217
0.12,-0.116783172,0.047092438,1.309733391
0.13,-0.398730874,0.115579605,1.186222076
0.14,-0.390872598,0.178984642,0.690629363
0.15,-0.447135598,0.299456596,0.634188712
0.16,-0.452412367,0.299853325,0.630367398
0.17,-0.339364499,0.314393044,0.699201644
0.18,0.134376854,-0.071120262,0.485866189
0.19,0.128280282,-0.071480751,0.491833389
0.2,0.186441824,-0.321146011,0.077403367
0.21,0.184763372,-0.322022438,0.088899136
0.22,-0.189988911,-0.117074013,-0.186272144
0.23,-0.365383923,-0.005403519,0.001523972
0.24,-0.364878297,-0.005992889,0.009140015
0.25,-0.402097642,0.101410866,0.528773904
0.26,-0.277702272,0.103487015,0.79477191
0.27,-0.355315298,0.045619011,0.717541337
0.28,-0.396666139,0.04510498,0.727698267
0.29,-0.400777102,0.044641495,0.735304356
0.3,-0.151218742,-0.045510292,0.586659074
0.31,0.033194199,-0.138429642,-0.173898399
0.32,-0.16204387,-0.109674454,-0.356566936
0.33,-0.218090817,-0.124256134,-0.390539259
0.34,-0.22668834,-0.035918236,-0.021808743
0.35,-0.149518073,0.002260208,0.141999722
0.36,0.015384629,-0.00261879,0.324666202
0.37,0.016435891,-0.002639771,0.324671149
0.38,-0.086902916,0.014192581,0.509827912
0.39,-0.109017864,0.045465469,0.651098192
0.4,0.074069589,0.074284554,0.608852983
0.41,0.048729479,0.04088974,0.350793302
0.42,-0.205799043,0.045583725,-0.14653939
0.43,-0.434257478,0.11212635,-0.629186034
0.44,-0.428694874,0.111275673,-0.618855
0.45,-0.391571462,-0.059239388,-0.375425994
0.46,-0.127583385,-0.23171711,0.595236838
0.47,-0.086684234,-0.307891846,1.279210329
0.48,0.161210924,-0.280976296,0.775776506
0.49,0.132179484,-0.20413971,0.471237361
0.5,-0.022881761,-0.134799004,0.309095502
0.51,-0.124616936,-0.07035923,-0.287530392
0.52,0.016367868,-0.034834862,-0.481446505
0.53,0.122685745,0.007964134,-0.144265711
0.54,8.12411E-05,0.043875694,0.316132724
0.55,-0.001724631,0.044075012,0.3139323
0.56,-0.29401964,0.049095154,0.722541511
0.57,-0.245476842,0.066027641,0.590640843
0.58,-0.06882599,0.010914803,0.337638557
0.59,0.211371169,-0.032505035,0.182237387
0.6,0.566487074,-0.148017883,-0.098108232
0.61,0.389288962,-0.184699059,-0.205747783
0.62,-0.091474168,-0.015538216,-0.327363133
0.63,-0.090027772,-0.016424179,-0.314595103
0.64,-0.207321882,-0.041262627,-0.498141974
0.65,-0.156615108,-0.109027863,-0.200047344
0.66,-0.158316359,-0.109412193,-0.193430573
0.67,0.006666541,-0.147955895,0.543635488
0.68,0.131882116,-0.14098835,0.519579887
0.69,0.045987338,-0.117251396,0.380391181
0.7,-0.117910489,-0.131828308,0.203097522
0.71,-0.12022315,-0.132090569,0.207971871
0.72,-0.09684965,-0.137047768,0.015403211
0.73,-0.0182468,-0.158736229,-0.192073464
0.74,-0.297471166,0.037542343,0.060563445
0.75,-0.503870666,0.044751167,0.282984197
0.76,-0.503155232,0.044787407,0.282161295
0.77,0.063934296,-0.070094109,0.303231657
0.78,0.061610818,-0.070173264,0.305110991
0.79,0.059919208,-0.168455124,0.14722234
0.8,0.101679921,-0.175739288,-0.192860991
0.81,0.109514564,-0.02266407,-0.15364477
0.82,-0.135976017,0.130515099,0.211539209
0.83,-0.135466903,0.130620003,0.209698558
0.84,-0.275814623,0.264695168,0.491990507
0.85,-0.167841673,0.037086487,0.123244941
0.86,-0.101008892,0.036809921,-0.257489324
0.87,-0.096673056,-0.066599846,-0.280653864
0.88,0.054778636,-0.177100182,0.197701275
0.89,0.418424159,-0.22727108,0.798750103
0.9,0.412225306,-0.226957321,0.795944691
0.91,0.340702653,-0.298462868,0.93583715
0.92,-0.180932105,-0.149917603,-0.103847951
0.93,-0.180387318,-0.15020752,-0.099396557
0.94,-0.116094083,-0.052330017,-0.443927378
0.95,-0.137918979,0.036161423,-0.163358122
0.96,-0.079325169,0.036244392,0.284577727
0.97,-0.079250216,0.048395157,0.494273543
0.98,-0.043112069,0.036566734,0.450645745
0.99,-0.065958411,-0.059189796,0.162205339
1,-0.035143122,-0.016235352,-0.082932174
1.01,-0.030177116,0.031437874,-0.063896924
1.02,-0.180690765,0.036105156,0.291382909
1.03,-0.205040932,0.035963058,0.363416195
1.04,0.01759389,-0.091079712,0.308541
1.05,-0.028746068,-0.055394173,0.20288533
1.06,-0.041339725,-0.156457901,-0.040167779
1.07,-0.056155235,-0.145092964,-0.309839189
1.08,-0.156924695,0.024253845,-0.114351332
1.09,-0.210087478,0.059654236,0.100525379
1.1,0.078485459,0.056868553,0.416263104
1.11,0.077369899,0.056609154,0.422009111
1.12,0.169435233,0.084962845,0.119079649
1.13,-0.151560083,0.149115562,0.093310922
1.14,-0.219703138,0.119912148,0.061913788
1.15,-0.079918981,0.030875206,-0.051197529
1.16,0.080114573,-0.00784874,-0.106518954
1.17,-0.209998637,-0.049005508,-0.072079659
1.18,-0.219380871,-0.08782959,0.043265969
1.19,-0.191056758,-0.104972839,-0.008641422
1.2,0.015451491,-0.174682617,0.033367783
1.21,0.088765353,-0.086221695,0.33624664
1.22,0.088108331,-0.086268425,0.33758843
1.23,-0.004367903,-0.040838242,0.654788792
1.24,-0.200885862,0.071516991,0.432600409
1.25,-0.18755728,0.052130699,0.294589043
1.26,-0.033452854,-0.015135765,0.217029125
1.27,0.028029606,-0.082353592,-0.06191203
1.28,0.000110477,-0.120925903,-0.197494164
1.29,-0.192194969,0.027189255,-0.414527178
1.3,-0.361013651,0.117698669,-0.318129093
1.31,-0.290247053,0.026293755,-0.045809716
1.32,-0.098933116,-0.024242401,0.364376694
1.33,-0.256935656,-0.017163277,0.321910799
1.34,-0.159927532,-0.017326355,0.344662458
1.35,0.082693279,-0.086894989,0.396043271
1.36,0.128768727,-0.065480232,0.497496337
1.37,0.054145455,-0.192501068,0.296289176
1.38,-0.028711423,-0.20707798,-0.015745252
1.39,0.050714314,-0.178545952,-0.129231274
1.4,-0.106179416,-0.037353516,0.42801553
1.41,-0.105250329,-0.037265778,0.42450884
1.42,-0.166473299,0.015533447,0.554123402
1.43,-0.214126512,0.025094986,0.174806774
1.44,-0.209460273,0.024851799,0.179020464
1.45,-0.399556309,0.122564316,-0.567836344
1.46,-0.228916466,0.090973854,-0.360413194
1.47,-0.107996628,0.06908226,0.0865677
1.48,0.205194756,0.035355568,0.56124115
1.49,0.284454823,-0.012633324,0.715353131
1.5,0.148474112,-0.041621208,0.480570823
1.51,0.055216789,-0.142549515,0.271947742
1.52,-0.128134802,-0.176465988,0.107741863
1.53,-0.193431601,-0.17448616,0.030272305
1.54,-0.117993712,-0.124576569,0.06970638
1.55,0.035664752,-0.127220154,0.068113372
1.56,-0.072734103,-0.113049507,0.078191355
1.57,-0.069672093,-0.113280296,0.086210847
1.58,-0.244928628,-0.029751778,-0.261519998
1.59,-0.199739456,-0.008441925,-0.26331681
1.6,-0.313114286,0.017729759,-0.231607601
1.61,-0.314200163,0.043962479,0.058082044
1.62,-0.181843817,0.019946098,0.241225049
1.63,-0.088808537,-0.04474926,0.283252388
1.64,-0.037286066,-0.008891106,0.290689707
1.65,-0.036290325,-0.008976936,0.293890834
1.66,0.119813919,-0.114398003,0.266430944
1.67,0.016327232,-0.073800087,0.196525976
1.68,-0.083852738,-0.040413857,0.117539764
1.69,-0.08083865,-0.040498734,0.121448606
1.7,-0.071858704,-0.114811897,0.069551319
1.71,-0.120431095,-0.110069275,0.128974393
1.72,-0.308182091,-0.055073738,-0.119908243
1.73,-0.22242111,0.019065857,-0.096637107
1.74,-0.09244141,0.018986702,0.132731631
1.75,-0.023724064,-0.012179375,0.025577515
1.76,-0.025123991,-0.012210846,0.029081866
1.77,0.071133979,-0.017002106,0.291300237
