Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,-0.264131248,0.018123627,0.011560008
0.01,-0.315057874,-0.02715683,-0.014417604
0.02,-0.205273986,-0.084381104,0.107565835
0.03,-0.055656135,-0.053131104,0.178680301
0.04,0.014610469,-0.019489288,0.183039159
0.05,-0.078171492,-0.014565468,0.071513548
0.06,-0.131407082,0.035998344,-0.004808202
0.07,-0.155748785,-0.004382133,0.099593326
0.08,-0.15419513,-0.004098892,0.10555017
0.09,0.044430315,-0.011119843,0.192749292
0.1,-0.042096794,0.003369331,0.155794516
0.11,-0.037843645,0.003490448,0.054191396
0.12,-0.038711369,0.003599167,0.061120883
0.13,0.003231704,0.025269508,0.046601892
0.14,0.001289904,0.025333405,0.054326922
0.15,-0.139086902,0.051776886,0.188784868
0.16,-0.099032223,-0.000748634,0.097165078
0.17,-0.099762023,-0.000607491,0.103638649
0.18,-0.040721118,-0.041172981,0.028295368
0.19,-0.046539843,-0.021951675,0.042774856
0.2,-0.00033313,0.028306007,0.08929947
0.21,-0.033570588,0.056940079,0.178114921
0.22,0.002964973,0.056853294,0.208683953
0.23,-0.044254363,0.056768417,0.226914525
0.24,-0.10559243,0.051896095,0.285871178
0.25,0.051338732,0.047070503,0.210594684
0.26,0.180337071,0.008628845,0.153465197
0.27,0.086482286,-0.068114281,0.135079593
0.28,-0.083495736,-0.116084099,0.068806678
0.29,-0.233324885,-0.029891968,-0.188964337
0.3,-0.278779864,0.05165863,-0.14183417
0.31,-0.256825984,-0.03676796,0.019725472
0.32,0.03210175,-0.144469261,0.386209041
0.33,0.177923799,-0.168588638,0.514371097
0.34,-0.040514529,-0.166389465,0.034348756
0.35,-0.22828126,-0.156742096,-0.088354439
0.36,-0.228366911,-0.156605721,-0.084642738
0.37,-0.145096242,-0.041662216,0.046035767
0.38,-0.071896613,0.001413345,0.023962885
0.39,0.135917246,0.065864563,0.285993904
0.4,-0.061876833,0.077449799,0.636091232
0.41,-0.064931273,0.077029228,0.631641269
0.42,-0.224886358,-0.045378685,0.127345488
0.43,-0.319267035,-0.112495422,-0.172230572
0.44,-0.319386005,-0.112485886,-0.171464264
0.45,-0.275910616,-0.102863312,-0.197531194
0.46,-0.055458725,-0.074113846,0.149690062
0.47,0.030673206,-0.035787582,0.315415263
0.48,-0.048213363,0.014517784,0.251230419
0.49,-0.042196155,0.026638985,0.061041027
0.5,-0.010447741,-0.009124756,0.080587953
0.51,0.05169934,-0.037774086,0.030457735
0.52,0.122400641,-0.025802612,0.202750206
0.53,0.161058068,0.002806664,0.244337827
0.54,0.053008616,0.024157524,0.218411148
0.55,0.050835371,0.023998261,0.21857363
0.56,-0.082982421,0.050162315,0.14219591
0.57,-0.094354272,0.023709297,0.052055776
0.58,-0.13422215,-0.007499695,0.062368184
0.59,-0.060959399,-0.062675476,0.239057034
0.6,-0.133131385,-0.048339844,0.310548604
0.61,-0.158675492,-0.026758194,0.32681635
0.62,-0.157487154,-0.026680946,0.326314241
0.63,-0.070602119,0.011714935,0.140012637
0.64,-0.105186403,0.01184082,0.035378248
0.65,-0.103780031,0.011945724,0.035316885
0.66,0.029167354,0.050310135,0.295216143
0.67,-0.024567962,0.043210983,0.325789928
0.68,-0.023016095,0.043349266,0.325933129
0.69,0.004695177,0.00996685,0.269234508
0.7,0.017078877,-0.006728172,0.042673916
0.71,-0.191465557,0.002842903,0.150703833
0.72,-0.117878139,0.055401802,0.050893158
0.73,-0.016139209,0.086372375,0.17170763
0.74,-0.050801277,0.028786659,0.321670145
0.75,-0.05159682,0.028684616,0.320786923
0.76,0.141405165,-0.141399384,0.609695733
0.77,-0.061320543,-0.18232441,0.068729967
0.78,-0.06094557,-0.182254791,0.069578111
0.79,0.052578449,-0.06486702,0.320770055
0.8,0.057706892,-0.036160469,0.27184996
0.81,-0.01146549,-0.000177383,-0.158215851
0.82,-0.076884866,0.054947853,0.282932729
0.83,-0.079213262,0.054645538,0.280158579
0.84,-0.122726619,0.061435699,0.560502231
0.85,-0.068236291,0.053928375,0.361692131
0.86,-0.13467443,0.017868042,0.078875452
0.87,-0.199814677,0.034629822,-0.05889827
0.88,-0.160934329,0.046683311,0.117067456
0.89,-0.160079479,0.046840668,0.119365215
0.9,0.078012347,-0.041523933,0.139785424
0.91,0.047328949,-0.017392159,0.139165685
0.92,0.019060314,-0.021978378,0.181784332
0.93,-0.013965666,-0.021747589,0.255795717
0.94,-0.032809436,-0.028739929,0.231592685
0.95,0.128804147,-0.102837563,0.138667643
0.96,0.14024049,-0.05973053,0.08231315
0.97,0.072267652,-0.035826683,0.164216384
0.98,-0.040819407,0.016788483,0.216441959
0.99,-0.095771611,-2.86102E-06,0.131396562
1,-0.121525466,-0.019079208,-0.079088151
1.01,-0.123062491,-0.018937111,-0.072961181
1.02,-0.105018854,0.014783859,-0.119342864
1.03,-0.132046819,0.000593185,0.098993659
1.04,-0.131992459,0.000785828,0.103431374
1.05,-0.012146592,-0.042086601,0.105404645
1.06,0.02387768,-0.077818871,0.068609506
1.07,0.023811042,-0.077699661,0.071286619
1.08,0.040526867,-0.10876751,0.008278996
1.09,-0.060086727,-0.089562416,0.171850145
1.1,-0.045516789,-0.036899567,0.233886212
1.11,0.046116233,0.015855789,0.112230599
1.12,-0.115791678,0.063959122,0.12503776
1.13,-0.279116809,0.057108879,0.236525178
1.14,-0.140125036,-0.043038368,-0.041567981
1.15,-0.107928038,-0.085766792,-0.349163503
1.16,-0.169402063,0.058261871,-0.469478935
1.17,-0.076686203,0.120903015,-0.119471312
1.18,-0.025363922,0.0588274,0.205515206
1.19,0.164327681,0.00623703,0.364293695
1.2,-0.005771041,-0.070280075,0.071982265
1.21,-0.191062331,-0.050830841,0.224124968
1.22,-0.216442227,-0.119882584,0.372630745
1.23,-0.131182313,-0.177031517,0.444636107
1.24,-0.127900481,-0.176760674,0.445074499
1.25,-0.087839425,-0.229194641,0.061418772
1.26,-0.23866117,-0.018428802,-0.301400423
