Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,0.03014946,0.049980164,0.364061922
0.01,0.034350157,0.050298691,0.365445525
0.02,0.059940606,0.007573128,0.163931787
0.03,-0.022875667,-0.037546158,0.109438002
0.04,0.016453266,-0.0610466,0.038974524
0.05,-0.083846807,-0.055840492,-0.014539063
0.06,-0.227002502,0.037935257,-0.078013718
0.07,-0.26169765,0.098219872,-0.055502594
0.08,-0.050447702,0.079449654,0.033803225
0.09,0.17112264,0.019903183,0.346268863
0.1,0.037296653,-0.068482399,0.485476345
0.11,-0.03107059,-0.097027779,0.350860864
0.12,-0.055499732,-0.125506401,0.271475047
0.13,-0.052470148,-0.125159264,0.273881525
0.14,-0.050370872,-0.062332153,-0.28182596
0.15,-0.047131479,-0.061603546,-0.274064064
0.16,0.066768348,0.017868042,0.033081591
0.17,0.146788746,0.058491707,0.459463596
0.18,0.229608774,0.058034897,0.623160005
0.19,0.12690264,0.057343483,0.617073953
0.2,0.047312677,0.008938789,0.408524334
0.21,-0.179188848,0.018202782,0.287845016
0.22,-0.178255379,0.018158913,0.286596477
0.23,-0.19322139,-0.161154747,-0.077495277
0.24,-0.142992854,-0.17983532,-0.05834645
0.25,-0.161874116,-0.102729797,-0.094184816
0.26,-0.198619604,0.055907249,-0.028738141
0.27,-0.184104741,0.059011459,0.015302122
0.28,-0.081236124,0.06454277,0.093574703
0.29,-0.077427983,0.065238953,0.100057602
0.3,0.04810977,0.058674812,0.448031098
0.31,0.065483868,0.030409813,0.449433863
0.32,-0.017703176,-0.005078316,0.249325305
0.33,-0.060045302,-0.038114548,0.071291924
0.34,-0.114505529,-0.107048988,0.046718895
0.35,-0.15214175,-0.108999252,0.038162947
0.36,-0.196805418,-0.122982979,-0.012085974
0.37,-0.26540333,-0.069973946,0.049609244
0.38,-0.250113547,0.004487991,0.112209916
0.39,-0.246912718,0.004693985,0.112137437
0.4,-0.20535177,0.05997467,0.119329035
0.41,-0.228188098,0.081767082,0.191512048
0.42,-0.116747141,0.065282822,0.258856326
0.43,0.072725475,0.065478325,0.254222632
0.44,0.074107885,0.065590858,0.254663944
0.45,0.199235886,0.010672569,0.232270777
0.46,0.221464753,-0.015467644,0.217316508
0.47,0.033630431,0.023031235,0.379100651
0.48,-0.006120324,-0.089394569,0.157109976
0.49,-0.01538825,-0.122660637,-0.076934576
0.5,-0.13015002,-0.062523842,-0.027911723
0.51,-0.124938905,-0.098202705,0.101847351
0.52,-0.025293231,-0.136428833,0.187382937
0.53,0.070340753,-0.129380226,0.504010022
0.54,0.011881351,-0.177666664,0.472845346
0.55,-0.024616063,-0.149337769,0.185285747
0.56,-0.026720345,-0.149590492,0.183880568
0.57,-0.164708197,-0.015669823,-0.195287526
0.58,-0.180849612,0.065689087,-0.170511246
0.59,-0.192579806,0.091982841,0.170707941
0.6,-0.164031088,0.168358803,0.3565045
0.61,-0.097058237,0.158561707,0.362757921
0.62,-0.134846628,0.100981712,0.262367308
0.63,-0.05441016,0.053138733,0.03870368
0.64,-0.150994837,-0.011335373,0.113396049
0.65,-0.143611193,-0.059058189,0.215984464
0.66,-0.142800152,-0.058922768,0.217111468
0.67,-0.027689099,-0.099479675,0.25708577
0.68,0.048917174,-0.149669647,0.327677608
0.69,0.041984499,-0.175829887,0.195636451
0.7,-0.007897198,-0.1397295,0.121153772
0.71,-0.008012056,-0.13949585,0.124172866
0.72,0.033911169,-0.093974113,-0.037312746
0.73,-0.030682445,-0.01260376,-0.133924365
0.74,-0.114752591,0.066344261,-0.041554809
0.75,-0.184240043,0.121244431,0.178522587
0.76,-0.167062402,0.173697472,0.191708744
0.77,-0.196996927,0.123368263,0.132120132
0.78,-0.199517727,0.097140312,0.042528272
0.79,-0.179975092,0.061421394,-0.002995133
0.8,-0.136510789,0.05211544,0.055236578
0.81,0.019094586,-0.033911705,0.095650971
0.82,0.017632663,-0.033873558,0.097151458
0.83,0.006876886,-0.007670403,0.309516519
0.84,0.161493808,-0.02946949,0.470003784
0.85,0.145262629,-0.099175453,0.317118585
0.86,0.028863311,-0.04428196,0.215648413
0.87,0.027707398,-0.044408798,0.214897871
0.88,0.030792415,-0.042159081,0.195208252
0.89,-0.041442037,0.017539978,0.255173206
0.9,0.024302483,0.014884949,0.194979727
