Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,-0.269391537,0.039956093,0.366855383
0.01,-0.264589369,0.040354729,0.370058566
0.02,-0.05884999,-0.241790772,0.246004358
0.03,-0.076472759,-0.277404785,0.276689738
0.04,-0.072696745,-0.277226448,0.276284367
0.05,-0.076040149,-0.284226418,0.175074101
0.06,-0.220299423,-0.118811607,-0.014636785
0.07,-0.283405602,-0.082737923,0.015396446
0.08,-0.176543951,0.034712791,0.178436637
0.09,-0.032533646,0.041916847,0.09638679
0.1,-0.03122282,0.041897774,0.094183296
0.11,0.020408928,0.075392723,0.130361527
0.12,-0.049324095,0.140075684,0.221729547
0.13,-0.121156454,0.252744675,0.159621596
0.14,-0.033135116,0.157128334,0.208643988
0.15,-0.031920493,0.157296181,0.210934863
0.16,-0.07032299,0.049870491,-0.10799104
0.17,-0.056076109,-0.002458572,0.150648087
0.18,-0.015752018,-0.138689041,0.347270072
0.19,0.148137093,-0.181718826,0.701665163
0.2,0.147571027,-0.181941032,0.697595537
0.21,-0.032342136,-0.349878311,0.85061121
0.22,-0.263859332,-0.249466896,0.075505048
0.23,-0.35176754,-0.02910614,-0.084851414
0.24,-0.422029018,-0.016952515,-0.526536644
0.25,-0.155367613,0.004886627,-0.66095078
0.26,0.005585968,0.064836502,0.068333894
0.27,0.065117598,0.148183823,0.569114983
0.28,0.073509336,0.200241089,0.849212289
0.29,-0.015509188,0.180569649,0.682766318
0.3,-0.047813475,0.12042141,0.430594564
0.31,-0.014211476,0.041332245,0.318245053
0.32,0.01729548,-0.107098579,0.336956352
0.33,0.020489693,-0.188472748,0.406373501
0.34,0.021435142,-0.18843174,0.40581134
0.35,0.081813127,-0.255503655,0.334647775
0.36,-0.042601168,-0.241175652,-0.113915861
0.37,-0.204120398,-0.10926342,-0.318664312
0.38,-0.189854205,-0.084989548,-0.212873161
0.39,-0.102524817,-0.02737236,0.081361115
0.4,-0.185893714,0.056506157,0.295515716
0.41,-0.044206798,0.116409302,0.322508693
0.42,-0.051753819,0.209806442,0.256755412
0.43,-0.045019567,0.200307846,0.203925952
0.44,-0.052719712,0.138124466,0.17069231
0.45,-0.117815793,0.051992416,0.354683429
0.46,0.018011928,0.004072189,0.297193795
0.47,-0.009892166,-0.108577728,0.124208629
0.48,-0.0139184,-0.130236626,0.138306558
0.49,0.00101018,-0.166348457,0.112172455
0.5,-0.013219237,-0.161816597,0.161542639
0.51,-0.015485704,-0.162139893,0.156854913
0.52,0.03257668,-0.131373406,0.316217125
0.53,0.221019298,-0.076686859,0.174800754
0.54,0.19762814,-0.031570435,0.15231742
0.55,0.193977833,-0.031864166,0.149652287
0.56,0.090534568,0.039710999,0.223828271
0.57,-0.060226917,0.063492775,-0.032673448
0.58,-0.12898922,0.053860664,-0.058200628
0.59,-0.204583645,0.039448738,-0.112086177
0.6,-0.250188232,0.073068619,-0.090655118
0.61,-0.215860248,0.039684296,0.012548357
0.62,-0.006590962,0.011133194,-0.04434526
0.63,0.031226993,-0.0773592,-0.069811404
0.64,0.029980779,-0.0773592,-0.06795162
0.65,0.152294308,-0.094355583,0.444002986
