Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,0.026913136,0.019184113,-0.065646261
0.01,0.035810217,0.021479607,-0.198489964
0.02,0.043827891,0.021356583,0.072789639
0.03,0.038896859,0.021277428,0.070283219
0.04,0.081415862,0.021217346,0.371683121
0.05,-0.167465821,0.021199226,0.700835347
0.06,-0.164860159,0.018882751,0.366323888
0.07,-0.086731747,-0.002670288,-0.06826324
0.08,-0.170867145,0.018816948,-0.17529197
0.09,-0.224902034,-0.033905029,0.056416526
0.1,-0.072598204,-0.072227478,0.226678267
0.11,-0.03383857,-0.026763916,0.29813233
0.12,0.05014576,-0.019597054,0.089698836
0.13,0.050152197,-0.019687653,0.094686553
0.14,0.057494,-0.036517143,0.095458567
0.15,0.093195945,-0.06533432,0.060042888
0.16,0.087627649,-0.086975098,0.036469996
0.17,0.007494003,-0.020030975,0.088834703
0.18,-0.072771147,-0.020093918,0.218778357
0.19,-0.165202633,-0.020140648,0.28503415
0.2,-0.200054303,0.003754616,0.20001924
0.21,-0.200936347,0.003699303,0.202345058
0.22,-0.111221746,-0.063414574,-0.078470893
0.23,-0.174567401,-0.05391407,0.002678864
0.24,-0.168080732,-0.022850037,0.036894806
0.25,-0.140221551,-0.003723145,0.089128628
0.26,-0.141023517,-0.00375843,0.090424515
0.27,0.035055384,-0.001402855,0.213549018
0.28,-0.037834629,0.02009964,0.39625451
0.29,0.016947851,0.02011776,0.343149632
0.3,0.023977235,0.01052475,0.186667725
0.31,0.057383984,-0.023036003,0.04844971
0.32,-0.010029823,-0.058992386,-0.012712546
0.33,-0.01026918,-0.059046745,-0.008811451
0.34,-0.142135486,-0.111741066,-0.02201689
0.35,-0.16875951,0.017504692,-0.025544122
0.36,-0.168916747,0.017475128,-0.023044117
0.37,-0.157786787,-0.004112244,0.144261628
0.38,-0.159346297,-0.004150391,0.145677328
0.39,0.093324333,0.000559807,0.398780704
0.4,0.023078233,-0.121594429,0.437557995
0.41,0.059060529,-0.143165588,0.422889024
0.42,-0.076823056,-0.095275879,0.27534774
0.43,-0.045384169,-0.121580124,-0.068331778
0.44,-0.031373039,-0.126396179,-0.263205707
0.45,0.017546535,-0.059398651,-0.129629061
0.46,-0.009500325,0.019557953,0.261789918
0.47,0.006008521,0.019530296,0.49576205
0.48,-0.035544857,0.014739037,0.525887609
0.49,-0.045003504,-0.06666851,0.479703367
0.5,-0.046408117,-0.066649437,0.475302488
0.51,0.017055392,-0.100162506,0.075830981
0.52,0.032833323,-0.162418366,-0.005684257
0.53,-0.052149653,-0.095417023,0.109133974
0.54,-0.050721601,-0.025978088,0.184568256
0.55,-0.049519449,0.007538795,0.173367366
0.56,0.054911822,-0.033173561,0.141565502
0.57,0.113350332,-0.066719055,0.151012838
0.58,-0.039055496,-0.033228874,0.242077142
0.59,-0.040260196,-0.03324604,0.241331875
0.6,-0.041856229,-0.026103973,0.037620932
0.61,-0.043624118,-0.026126862,0.037594624
0.62,-0.217419148,0.036111832,0.15906845
0.63,-0.253716111,0.019351959,0.150355339
0.64,-0.291453123,0.005007744,0.106448822
0.65,-0.296998143,0.005044937,0.197876692
0.66,-0.206439555,-0.028457642,0.222386405
0.67,-0.204356894,-0.028413773,0.222993732
0.68,-0.153666556,0.019504547,0.164035857
0.69,-0.215230689,0.02674675,0.195230991
0.7,-0.089725733,0.041197777,0.098131374
0.71,-0.060768291,0.067580223,0.100287162
0.72,-0.070063159,0.127500534,0.168954223
0.73,-0.026401028,0.117999077,0.186977372
0.74,0.02673763,0.127632141,0.177272856
0.75,0.030139551,0.12769413,0.178552359
0.76,0.012916833,0.020008087,0.2051588
0.77,-0.025467396,0.015287399,0.103594318
0.78,-0.087373555,0.020127296,0.008189082
0.79,-0.08149296,0.020212173,0.014309607
0.8,-0.109634906,-0.027603149,0.342832476
0.81,0.029274985,-0.14964962,0.44293946
0.82,-0.042479128,-0.254953384,0.235639334
0.83,-0.039813116,-0.25492096,0.239368588
0.84,-0.084271252,-0.238110542,0.104693435
0.85,-0.199706882,-0.11591053,0.265523017
0.86,-0.20130986,-0.072689056,-0.110402741
0.87,-0.078433037,-0.034274101,-0.277409434
0.88,-0.080534548,0.020842552,0.022946283
0.89,-0.079079658,0.020890236,0.02196604
0.9,-0.231563598,0.10233593,0.418061972
0.91,-0.182659596,0.121533394,0.242203891
0.92,-0.17626214,0.112030983,0.087406114
0.93,-0.172729582,0.112113953,0.088476963
0.94,-0.103165418,-0.031417847,0.164515585
0.95,0.012100101,-0.091163635,0.153959274
0.96,0.084426224,-0.136519432,0.158289999
0.97,0.019850194,-0.114853859,0.155377686
0.98,0.111127093,-0.074029922,0.092696771
0.99,0.115684614,-0.073906899,0.097384647
1,-0.044511855,-0.01390934,0.245507449
1.01,-0.039273381,-0.013772011,0.249474019
1.02,-0.230638117,-0.030395508,0.012223229
1.03,-0.225893557,-0.030247688,0.016641632
1.04,-0.281338424,-0.027723312,0.005816434
1.05,-0.20210591,-0.039618492,-0.075581387
1.06,-0.254369676,-0.061052322,0.250712782
1.07,-0.286175787,-0.065711021,0.474314511
1.08,-0.254692346,-0.101438522,0.339930624
1.09,-0.215393901,-0.103615761,0.163683742
1.1,-0.122850657,-0.062691689,0.01715192
1.11,-0.219281197,-0.038514137,0.074454948
1.12,-0.194830984,-0.0046978,0.089932419
1.13,-0.186947554,-0.004389763,0.088623092
1.14,-0.281522572,0.024664879,0.366720855
1.15,-0.273915321,0.024970055,0.364285141
1.16,0.160501882,-0.015485764,0.061765991
1.17,0.126332194,-0.005748749,0.047958557
1.18,-0.004073173,-0.003198624,0.177197963
1.19,-0.000253052,-0.003033638,0.175831944
1.2,-0.209613949,-0.026816368,0.100020111
1.21,-0.12006551,0.025989532,-0.090898201
1.22,-0.114980638,0.026103973,-0.038892917
1.23,0.030738294,-0.016909599,0.23961395
1.24,0.009696335,-0.062362671,0.613849819
1.25,-0.030456573,-0.09823513,0.877486706
1.26,-0.084414601,-0.19153595,0.610019028
1.27,-0.081548095,-0.191398621,0.606886566
1.28,-0.125910729,-0.174474716,-0.185129106
1.29,-0.122088254,-0.174326897,-0.182227552
1.3,-0.127006292,-0.071285248,0.001701325
1.31,-0.126167208,-0.071237564,-0.000651378
1.32,-0.110439032,0.029308319,0.550401449
1.33,0.034569263,0.050854683,0.538547814
1.34,0.034434229,0.050890923,0.533619106
1.35,-0.263019413,0.027049065,0.302742362
1.36,-0.122728467,-0.116413117,0.101396583
1.37,-0.006974816,-0.281469345,-0.099927083
1.38,-0.004758298,-0.281386375,-0.098694332
1.39,0.075949639,-0.271727562,-0.041006692
1.4,-0.063604921,-0.127984047,0.145064607
1.41,-0.188083023,-0.065624237,0.096487612
1.42,-0.240381002,-0.05832386,0.085087903
1.43,-0.288178325,0.006438255,0.06987872
1.44,-0.279350042,0.037611961,0.060368761
1.45,-0.179627895,0.05682373,-0.013804726
1.46,-0.156699985,0.040104866,-0.039214771
1.47,-0.154932112,0.040180206,-0.035845
1.48,-0.112296104,0.016311646,0.378207803
1.49,-0.032875657,-0.10567379,0.338487715
