Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,-0.014639616,-0.050973892,0.098209679
0.01,-0.090778589,-0.036582947,0.090939045
0.02,-0.107511401,-0.072518349,0.155402601
0.03,-0.09579885,-0.06549263,0.101696849
0.04,-0.098626018,-0.065831184,0.101743579
0.05,-0.201621294,0.005560875,0.234285772
0.06,-0.023717642,0.007501602,0.274927139
0.07,0.017121077,0.011779785,0.27487284
0.08,-0.016314268,0.092699051,0.234456599
0.09,-0.058567524,0.116418839,0.229146123
0.1,-0.059573412,0.116333962,0.229441881
0.11,-0.02935791,0.077967644,0.244267583
0.12,0.017536283,0.104184151,0.31363368
0.13,0.019096732,0.099348068,0.191971064
0.14,-0.044105172,0.068229675,0.051831186
0.15,-0.105017304,0.025191307,0.098874271
0.16,-0.170501709,0.006098747,-0.138962746
0.17,-0.10330081,0.02793026,0.114871204
0.18,-0.1297189,-0.058176041,0.249841452
0.19,0.305111885,-0.079850197,0.836225987
0.2,0.202535749,-0.123722076,0.467164099
0.21,-0.071950555,-0.131556511,-0.217113257
0.22,-0.033630252,-0.131943703,0.253446519
0.23,0.079133749,-0.022665024,0.417652071
0.24,0.03466773,-0.004368782,0.039801061
0.25,-0.005066752,0.014320374,-0.037232399
0.26,-0.007411122,0.01376915,-0.040076613
0.27,-0.001396298,0.096784592,0.334368467
0.28,-0.005359888,0.095858574,0.329796433
0.29,-0.028433084,0.111710548,0.270039618
0.3,-0.096645355,0.058168411,0.279806793
0.31,-0.042479396,-0.035969734,0.299798191
0.32,0.019304514,-0.015030861,0.280171216
0.33,0.016467929,-0.015563011,0.277796865
0.34,0.054338276,0.019824028,0.280351996
0.35,0.039348364,0.007199287,0.373078764
0.36,0.01970911,0.0234375,0.220064461
0.37,-0.064144135,0.025477409,0.05393064
0.38,-0.044798255,-0.01080513,0.256154001
0.39,0.092162013,-0.051774979,0.272353411
0.4,0.090147257,-0.052054405,0.271660745
0.41,0.052227914,-0.014068604,0.23219198
0.42,0.028675437,0.014334679,0.226154387
0.43,-0.03801477,0.016301155,0.133189261
0.44,-0.039509535,0.016021729,0.13180685
0.45,-0.093576789,-0.012924194,0.107274294
0.46,-0.094410896,-0.013046265,0.107023537
0.47,-0.077882648,-0.056235313,0.199699938
0.48,-0.0453161,0.005764961,0.231777787
0.49,-0.013020515,0.103595734,0.244019926
0.5,-0.107756972,0.117572784,0.207947433
0.51,-0.108431697,0.117318153,0.206065297
0.52,-0.085135102,0.112300873,0.127924085
0.53,-0.085780382,0.112211227,0.127626598
0.54,-0.004925728,0.033198357,0.135430694
0.55,-0.005742431,0.033198357,0.136171877
0.56,0.0076195,0.03079319,0.13975513
0.57,-0.072265506,0.042853355,0.067209542
0.58,-0.147093773,0.062232018,0.014933467
0.59,-0.130481362,-0.018852234,-0.06775856
0.6,-0.128333807,-0.085543633,-0.109577835
0.61,-0.030403852,-0.020560265,-0.022245944
0.62,0.005244493,-0.044184685,0.086563766
0.63,0.00502336,-0.043927193,0.089415073
0.64,0.023862243,-0.041330338,0.153962195
0.65,-0.015273929,-0.091579437,0.059339166
0.66,-0.168793559,-0.117663384,-0.028876185
0.67,-0.168231249,-0.117465973,-0.027590811
0.68,0.062292099,0.023757935,0.158266604
0.69,0.06270957,0.023981094,0.159796298
0.7,0.058063269,0.045973778,0.034816265
