Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,-0.451590687,-0.067741394,1.142785311
0.01,-0.928512931,-0.004166603,0.943588615
0.02,-1.184635401,-0.010286331,1.029089093
0.03,-0.904722691,-0.12964344,1.043048143
0.04,-0.237239748,-0.254426956,0.978319526
0.05,0.704040051,-0.468532562,0.945748448
0.06,0.678713918,-0.463313103,0.916000128
0.07,1.56496048,-0.612927437,0.994527459
0.08,1.13844502,-0.418514252,1.231821537
0.09,0.544768333,-0.162778854,1.060834408
0.1,0.558143973,-0.161815643,1.058343649
0.11,-0.125896573,0.02277565,0.432315588
0.12,-1.107407928,0.120698929,1.080001831
0.13,-1.540967941,0.233110428,0.812044382
0.14,-0.904100061,0.231729507,0.168247938
0.15,-0.909684837,0.229245186,0.179144502
0.16,0.374883413,-0.314507484,-0.238548756
0.17,0.324079037,-0.362161636,-0.112484217
0.18,0.07997334,-0.402019501,0.36826992
0.19,-0.227799773,-0.330604553,0.53852582
0.2,-0.244284928,-0.357330322,0.244786024
0.21,-0.193513483,-0.434427261,0.26290226
0.22,-0.280488282,-0.520607948,0.58238709
0.23,-0.811180651,-0.402365685,1.146354675
0.24,-0.876451075,-0.332290649,1.09138298
0.25,-0.402019501,-0.235447884,0.64715004
0.26,0.065837055,-0.142344475,0.16089344
0.27,0.267955512,-0.078110695,0.042569637
0.28,0.33208698,-0.087283134,0.060731649
0.29,0.355077714,-0.113815308,0.182144165
0.3,0.162268013,-0.209362984,0.516987801
0.31,0.258702666,-0.253857613,0.515324831
0.32,0.046728075,-0.338811874,0.452261448
0.33,-0.226503402,-0.438077927,0.547262192
0.34,-0.293960303,-0.429448128,0.383380652
0.35,-0.28875047,-0.428492546,0.380008936
0.36,-0.319334924,-0.304365158,0.026148319
0.37,-0.373114228,-0.205358505,-0.369922042
0.38,-0.345976532,-0.073145866,-0.637684941
0.39,-0.341862947,-0.074518204,-0.630412698
0.4,-0.255361408,-0.053433418,-0.129531741
0.41,-0.378493279,0.046147347,0.558455229
0.42,-0.270647466,-0.030544281,1.103063107
0.43,0.089876801,-0.059067726,1.217583656
0.44,0.086803377,-0.056530952,1.205150127
0.45,0.258038282,-0.101746559,1.247195959
0.46,0.492810041,-0.084801674,1.050038576
