Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,-0.139853537,0.032325745,0.018354639
0.01,-0.237589777,0.032347679,0.377706915
0.02,-0.372412324,0.032440186,0.483553618
0.03,-0.309627414,-0.048810005,0.489727646
0.04,-0.163023472,-0.168365479,0.177670509
0.05,-0.1605528,-0.168254852,0.180849284
0.06,-0.12684691,-0.216012955,0.026587836
0.07,-0.18394351,-0.132073402,0.004163936
0.08,-0.083589196,-0.086490631,0.038267411
0.09,-0.082793772,-0.086454391,0.041179992
0.1,-0.003700078,0.011712074,0.157078877
0.11,-0.10477072,0.033211708,0.189958394
0.12,-0.131199122,0.033183098,0.134424508
0.13,-0.05992043,0.033146858,0.078977659
0.14,-0.061604321,0.033025742,0.084020622
0.15,0.123045862,0.013741493,-0.163929582
0.16,0.121117413,0.013616562,-0.157747701
0.17,-0.11148721,0.00640583,-0.072007857
0.18,-0.378729045,-0.007907867,-0.085254729
0.19,-0.29766959,0.044753075,0.072906435
0.2,0.00336355,-0.034433365,0.258022398
0.21,0.305979818,-0.156898499,0.7710464
0.22,0.307711333,-0.219579697,0.835804105
0.23,0.145201862,-0.19600296,0.624189436
0.24,-0.026898146,-0.04540062,0.171921343
0.25,-0.174995661,0.004778862,-0.271270692
0.26,-0.208066344,0.016629219,-0.601210773
0.27,-0.211705029,0.016440392,-0.599011302
0.28,-0.081121147,0.03049469,-0.565339387
0.29,-0.066614926,0.109149933,0.772234857
0.3,-0.149430782,0.072961807,1.098324656
0.31,-0.102487266,0.041712761,0.712175906
0.32,-0.111484915,0.024870873,0.226911426
0.33,-0.114875197,-0.051807404,-0.058294807
0.34,-0.0745956,-0.073377609,0.153797329
0.35,0.089900643,-0.219470978,0.242558077
0.36,0.08848083,-0.219531059,0.243611038
0.37,0.068629414,-0.214799881,-0.022822239
0.38,-0.110720545,-0.16932106,-0.075538002
0.39,-0.146723807,-0.147778511,-0.083997533
0.4,-0.160438329,-0.102375984,0.020228572
0.41,-0.141753167,-0.006759644,0.164581314
0.42,0.050472856,0.028946877,0.067670979
0.43,-0.104552805,0.067051888,0.179089159
0.44,-0.107454389,0.066900253,0.179920152
0.45,-0.410475344,0.040505409,0.402657121
0.46,-0.16245082,0.016505241,0.150594935
0.47,-0.095427752,-0.021934509,0.001012282
0.48,-0.280062437,-0.014882088,0.040327355
0.49,-0.288861036,0.0281353,0.157036692
0.5,-0.060869128,0.028039932,0.171909452
0.51,-0.065006226,0.027853966,0.173157141
0.52,0.186507046,-0.101652145,-0.064341269
0.53,0.196630091,-0.149741173,-0.061906293
0.54,0.193841487,-0.149870873,-0.059835844
0.55,0.053524375,-0.149945259,-0.059246976
0.56,-0.079274982,0.008021355,0.284258246
0.57,0.087049693,0.015162468,0.289131045
0.58,0.032293588,0.027038574,0.504686654
0.59,-0.021966726,0.026970863,0.525502026
0.6,-0.190737337,0.038895607,0.153777689
0.61,-0.171156734,0.110737801,-0.070931695
0.62,-0.17977199,0.026981354,-0.071311653
0.63,0.023463309,-0.064014435,0.058287505
0.64,0.327653468,-0.135944367,0.520649791
0.65,0.324335873,-0.136092186,0.517944515
0.66,-0.241558373,-0.066684723,0.127904341
0.67,-0.320754498,0.026769638,-0.066547215
0.68,-0.159527689,0.026911736,0.141317517
0.69,0.040122509,-0.023330688,-0.070413098
0.7,0.072440594,0.014928818,-0.068731643
0.71,-0.021178752,0.026779175,0.229208261
0.72,0.020819366,-0.00210762,0.511347115
0.73,0.011976272,-0.031012535,0.46997124
0.74,-0.031367272,0.026337624,0.076042891
0.75,-0.264620632,0.02630806,-0.063560255
0.76,-0.385395259,0.033543587,0.022278523
0.77,-0.38343665,0.033631325,0.021075211
0.78,-0.082713962,-0.124339104,0.544906914
0.79,0.063685358,-0.136287689,0.430209816
0.8,0.022652417,-0.078839302,0.369160265
0.81,0.022273511,-0.078860283,0.372022212
0.82,0.233589649,-0.043026924,-0.278194755
0.83,0.223267213,-0.021621704,-0.121010371
0.84,0.220015511,0.026123047,0.071400724
0.85,0.166923583,0.049948692,0.221016586
0.86,0.165129095,0.049862862,0.22044614
0.87,-0.156314373,0.064204216,0.417571396
0.88,-0.156689346,0.06417942,0.418293774
0.89,-0.168809801,-0.072285652,-0.047399193
0.9,-0.147389442,-0.091453552,0.035499021
0.91,-0.258194983,-0.115427971,0.194994569
0.92,-0.205602318,-0.103450775,0.285326541
0.93,-0.098336607,-0.12263298,0.23558566
0.94,0.039255887,-0.134652138,0.152090117
0.95,0.145025492,-0.137141228,0.094973706
0.96,0.142908216,-0.137220383,0.092413299
0.97,-0.018708229,0.020749092,0.203717947
0.98,-0.231873363,0.025532722,0.410027802
0.99,-0.231045961,0.025586128,0.404949278
1,0.015883058,-0.019874573,0.126113579
1.01,-0.013795614,-0.027119637,0.116939426
1.02,-0.072269857,-0.024763107,0.017092792
1.03,-0.099746704,0.013511658,-0.062774569
1.04,-0.101078957,0.013444901,-0.060889099
1.05,-0.04513818,0.05168438,0.175975546
1.06,-0.046380579,0.051635742,0.175678968
1.07,0.179330587,-0.051384926,0.420845926
1.08,0.01827696,-0.19277668,0.624143958
1.09,-0.102935612,-0.171279907,0.440156251
1.1,-0.260457873,-0.001255035,0.434930593
1.11,-0.257784843,-0.001150131,0.433210462
1.12,-0.080409259,-0.11836338,0.046618454
1.13,0.082484871,-0.144694328,-0.365240574
1.14,0.079890311,-0.144813538,-0.36174342
1.15,-0.026608914,-0.001293182,-0.01252119
1.16,-0.180495292,0.046476364,0.381398648
1.17,-0.227962852,0.135025978,0.432266235
1.18,-0.229758114,0.151820183,0.306978583
1.19,-0.263686627,0.118398666,0.351395428
1.2,-0.296348184,0.029943466,0.275555521
1.21,-0.279841006,-0.041695595,0.276165724
1.22,-0.064122796,-0.048682213,0.096403256
1.23,-0.012701392,-0.043765068,-0.087819792
1.24,-0.016968906,-0.022122383,-0.082187429
1.25,0.042636722,0.006690979,0.204373241
1.26,0.098859459,0.016324997,0.468982071
1.27,0.178430483,-0.005213737,0.349129617
1.28,0.188565955,0.004382133,0.259452105
1.29,0.127541006,-0.026688576,0.15225865
1.3,0.129260093,-0.026618958,0.156131059
1.31,-0.356424719,-0.079183578,0.131198078
1.32,-0.255297393,-0.134123802,-0.063941307
1.33,-0.160031349,-0.148431778,-0.056869652
1.34,-0.159526616,-0.148394585,-0.053716321
1.35,-0.216396928,-0.057397842,-0.040710215
1.36,-0.320198536,0.026467323,-0.226924524
1.37,-0.365503937,0.103194237,-0.096833453
1.38,-0.288058251,0.09855938,-0.052135974
1.39,-0.285065919,0.098690033,-0.053874012
1.4,0.192250803,0.050844193,0.38200444
1.41,0.075396746,0.029328346,0.566881239
1.42,0.077005476,0.029392242,0.565579295
1.43,0.074274749,0.027090073,0.311531365
1.44,0.274098933,-0.03032589,-0.067057669
1.45,0.197031155,-0.085419655,-0.05244948
1.46,-0.006083578,-0.181157112,0.016550411
1.47,0.038343459,-0.068577766,-0.06498155
1.48,-0.063207835,0.022469521,0.005814422
1.49,-0.386755586,0.027347565,0.394226253
1.5,-0.318975091,0.049051285,0.599130034
1.51,0.068254679,-0.032269478,0.606642604
1.52,0.019380629,-0.099349976,0.406896174
1.53,-0.197764516,-0.104113579,0.342753768
1.54,-0.003493398,-0.058491707,0.039353285
1.55,-0.00162673,-0.058400154,0.039575513
1.56,-0.06291312,-0.144560814,-0.300876498
1.57,-0.062554091,-0.144538879,-0.300227612
1.58,0.157822609,-0.094348907,-0.292310566
1.59,0.024987131,0.121091843,0.372359127
1.6,-0.188047022,0.15464592,0.502650559
1.61,-0.186395466,0.154738426,0.495328248
1.62,-0.390437007,0.212449074,0.669725835
1.63,-0.137869448,0.07377243,0.310052693
1.64,-0.13477397,0.073919296,0.310067684
1.65,0.128704339,-0.100764275,0.075310931
1.66,0.152212858,-0.117440224,0.20300819
1.67,0.142281324,-0.124527931,0.016865026
1.68,0.279221058,-0.148357391,-0.131447524
1.69,0.289944768,-0.184130669,-0.140063599
1.7,0.184720606,-0.222207069,-0.191387966
1.71,-0.071942389,-0.051882744,-0.218287751
1.72,-0.266763568,0.034754753,-0.191616565
1.73,-0.257317722,0.035233498,-0.192497909
1.74,-0.601451278,0.260733604,0.265130729
1.75,-0.482356548,0.265910149,0.571147263
1.76,-0.049508095,0.232651711,0.578166306
1.77,0.206042945,0.117883682,0.664203525
1.78,0.276887208,0.086899757,0.594355404
1.79,0.33234182,0.032053947,0.358665228
1.8,0.335994393,0.032296181,0.352114737
1.81,-0.284485281,0.102148056,-0.046803251
1.82,-0.324247658,0.1577034,-0.025329888
1.83,-0.316193223,0.158180237,-0.027702518
1.84,-0.368329048,-0.102319717,0.253226668
1.85,-0.089722097,-0.173753738,0.033107638
1.86,0.07420963,-0.257295609,0.035371929
1.87,0.418891609,-0.19483757,0.155574545
1.88,0.628903568,-0.187458992,-0.103073455
1.89,0.177306026,-0.0195961,0.260935307
1.9,-0.458311915,0.136623383,0.29065299
1.91,-0.70539844,0.460720062,-0.085303813
1.92,-0.669175386,0.24601078,-0.410391331
1.93,-0.500634909,0.047818184,-0.186396241
1.94,-0.496856809,0.048172951,-0.194815487
1.95,-0.150567412,-0.351319313,0.592374742
1.96,0.094748676,-0.413243294,0.40426296
1.97,0.109715998,-0.259674072,0.037248865
1.98,0.018666923,-0.192282677,-0.259300947
1.99,0.023384035,-0.191996574,-0.257748783
2,0.329579026,-0.115246773,-1.262474418
2.01,0.329306215,-0.115225792,-1.264561534
2.02,-0.131715059,0.050185204,0.135620311
2.03,-0.400918424,0.074747086,0.580020309
2.04,-0.398745179,0.075632095,0.549458265
2.05,-0.376297236,0.210687637,1.464860201
2.06,-0.374257982,0.211813927,1.432832241
2.07,-0.038607717,0.138853073,1.258125186
2.08,0.166743785,0.039353371,0.871307969
2.09,0.14038378,-0.108158112,0.615615189
2.1,0.16364646,-0.224586487,0.387469351
2.11,0.473717064,-0.314791679,0.243618071
2.12,0.471675485,-0.314368248,0.231072128
2.13,-0.221293211,-0.242202759,0.020019501
2.14,-0.582984448,-0.105237961,-0.194702476
2.15,-0.727274895,0.050869942,-0.291178852
2.16,-1.031000614,0.103950501,-0.615399838
2.17,-0.711290538,0.051710129,-1.14299345
2.18,-0.057695031,-0.189834595,-1.510378838
2.19,0.415411323,-0.340640068,-1.754574537
2.2,0.412464708,-0.340474129,-1.762949467
2.21,0.288516492,-0.372518539,-0.134637237
2.22,0.285689145,-0.370227814,-0.182223469
2.23,-0.050131977,-0.175889015,1.099719644
2.24,-0.519874513,-0.016972542,1.961467981
2.25,-0.670381546,0.065068245,1.950490952
2.26,-0.2162323,-0.004473686,1.230512738
2.27,0.213606447,-0.036455154,0.265767336
2.28,0.203730196,-0.035254478,0.241004467
2.29,-0.011289895,-0.105622292,-0.225320458
2.3,0.175211966,-0.074788094,-0.179280579
2.31,0.603034437,-0.105690956,0.339218676
2.32,0.501080632,-0.282398224,0.863369763
2.33,0.035440326,-0.147656441,1.040368557
2.34,-0.499527454,-0.197485924,1.144019365
2.35,-0.764605224,-0.305335045,1.347538948
2.36,-0.907660663,-0.291668892,1.262527347
2.37,-0.908061028,-0.290786743,1.253843546
2.38,-0.821193814,0.035355568,0.185642481
2.39,-0.495490193,0.044942856,-0.392509162
2.4,-0.187876344,-0.019888878,-0.460780859
2.41,0.322783232,-0.192251205,0.169007659
2.42,0.304772496,-0.191725731,0.15419817
2.43,0.687946022,-0.276995659,0.916392922
2.44,0.016370416,-0.115766525,1.159818411
2.45,0.018476605,-0.11482048,1.152505636
2.46,-0.721955299,-0.042144775,1.627020717
2.47,-0.637362897,0.04904747,1.096565485
2.48,-0.285538316,0.037953377,0.395270944
2.49,0.191749692,-0.07919693,-0.236659288
2.5,0.56753248,-0.191880226,-0.2972368
2.51,0.578290105,-0.265987396,-0.125913382
2.52,0.535500705,-0.263028145,-0.055707157
2.53,0.529812157,-0.26458931,-0.043747485
2.54,0.190036923,-0.208494186,0.015285015
2.55,-0.289748311,-0.166477203,0.164414585
2.56,-0.284724772,-0.167180061,0.174274743
2.57,-0.633021534,-0.076093674,0.419339836
2.58,-0.632051051,-0.075736046,0.416242421
2.59,0.168558836,-0.171113968,0.625835717
2.6,0.307975411,-0.185352325,0.69038862
2.61,0.404371381,-0.206737518,0.675719619
2.62,0.398433983,-0.206591606,0.671320915
2.63,0.278625667,-0.125606537,0.091047466
2.64,-0.084205747,0.005473137,0.235168636
2.65,-0.478443265,0.079428673,0.222749651
2.66,-0.780106545,0.07913208,0.189955652
2.67,-0.775063574,0.078822136,0.195618928
2.68,-0.268044353,-0.060657501,-0.359862506
2.69,0.040471584,-0.111948013,-0.305443704
2.7,0.094031513,-0.129766464,-0.171159685
2.71,0.34174794,-0.097139359,-0.217896521
2.72,0.541317225,-0.114928246,-0.37336129
2.73,0.51563865,-0.058429718,-0.406263053
2.74,0.514319658,-0.059112549,-0.399648547
2.75,-0.458061665,0.072470665,0.397346079
2.76,-0.451675624,0.073033333,0.394920349
2.77,-0.395798147,-0.149116516,0.850866199
2.78,-0.027240872,-0.344890595,1.254416227
