Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,-0.075429559,0.059838295,0.138080806
0.01,-0.068811357,0.026231766,0.038333774
0.02,-0.200373828,0.064470291,-0.12649484
0.03,-0.29806757,0.076398849,-0.140022367
0.04,-0.075344503,-0.026650429,-0.01951316
0.05,-0.077023864,-0.026898384,-0.016264379
0.06,0.109650195,-0.043912888,0.272037
0.07,-0.033829808,-0.180343628,0.476812422
0.08,-0.100045562,-0.14436245,0.170730442
0.09,-0.098711133,-0.14432621,0.173536152
0.1,-0.017002761,-0.103733063,-0.15668276
0.11,0.144625425,0.001361847,0.150098145
0.12,-0.067396104,0.049121857,0.540310025
0.13,-0.30196923,0.063551903,0.655787647
0.14,-0.288906574,0.022990227,0.376481146
0.15,-0.147007287,-0.058380127,-0.041484684
0.16,-0.147614598,-0.058569908,-0.036724329
0.17,-0.064207792,-0.0539608,-0.268446595
0.18,-0.106354237,0.063339233,0.006458223
0.19,-0.031184256,0.017847061,0.248924673
0.2,0.027355015,0.03224659,0.467110485
0.21,0.028629839,0.032299995,0.469386607
0.22,-0.064957023,-0.044182777,0.219045058
0.23,-0.112673104,-0.094407082,-0.051808074
0.24,-0.098483801,-0.068074226,-0.279861271
0.25,-0.161599219,-0.05616951,-0.253357947
0.26,-0.121540785,-0.017885208,0.071088836
0.27,-0.041600585,0.041950226,0.368020296
0.28,-0.052764714,0.0635252,0.457054317
0.29,-0.050878167,0.063626289,0.461136043
0.3,-0.235033393,0.008706093,0.132794693
0.31,0.059441566,-0.05820179,-0.065597102
0.32,0.047578573,-0.130112648,-0.125414938
0.33,-0.064260483,-0.158874512,-0.034415692
0.34,-0.153438807,-0.170736313,0.122282341
0.35,-0.165235221,-0.146580696,0.217423156
0.36,-0.15059346,-0.072123528,0.19501245
0.37,-0.107604444,-0.038412094,0.036852866
0.38,-0.105888009,-0.038299561,0.039923355
0.39,0.009703577,0.014385223,0.038105935
0.4,0.057751238,0.021573067,0.362300396
0.41,0.057945609,0.021600723,0.361505449
0.42,-0.092243731,-0.009476662,0.103320688
0.43,-0.165789127,0.064783096,-0.207824647
0.44,-0.320507467,0.028878212,-0.337374568
0.45,-0.22564894,0.060060501,-0.226440787
0.46,-0.226425767,0.059941292,-0.22402963
0.47,0.185592711,-0.064768791,0.538014889
0.48,0.054130375,-0.139202118,0.616624475
0.49,0.053739905,-0.139256477,0.617239356
0.5,0.020998061,-0.146381378,0.333680838
0.51,0.021900296,-0.146326065,0.335064411
0.52,-0.145139039,-0.052947044,-0.208330914
0.53,0.11150527,0.064134598,-0.0251766
0.54,0.184010267,0.015862465,0.615044713
0.55,-0.035931408,-0.015617371,0.858859897
0.56,-0.038472354,-0.015750885,0.851535201
0.57,-0.154577494,-0.073234558,0.271024346
0.58,-0.030647933,-0.152280808,-0.127364621
0.59,-0.141076624,-0.138002396,-0.105633274
0.6,-0.139667034,-0.137890816,-0.103438392
0.61,0.000867128,-0.082679749,0.220674858
0.62,0.021511853,-0.092125893,0.175904349
0.63,0.061914563,-0.070423126,0.083946779
0.64,0.025851607,-0.02959919,0.082468882
0.65,0.029272854,-0.029348373,0.088167384
0.66,-0.115355253,0.018852234,0.269543499
0.67,-0.111344516,0.019201279,0.272907436
0.68,-0.204125762,0.064941406,0.207133755
0.69,0.043816805,0.064795494,0.028719246
0.7,0.247478664,0.06452179,-0.08184541
0.71,-0.134653926,0.014051437,0.074978307
0.72,-0.135358572,0.013960838,0.076111697
0.73,-0.112226903,-0.033985138,0.417535543
0.74,-0.212243915,-0.019783974,0.164916202
0.75,-0.206062377,0.004026413,-0.162594482
0.76,-0.169053674,-0.005732536,-0.301288962
0.77,-0.170595944,-0.005936623,-0.29666248
0.78,-0.078736305,-0.101869583,0.110131539
0.79,-0.072868943,-0.125932694,0.40887931
0.8,-0.073371947,-0.125963211,0.406365275
0.81,0.046604276,-0.049285889,0.527715206
0.82,-0.110198259,0.094532967,0.349724144
0.83,-0.268221021,0.082812309,0.249653906
0.84,-0.181953549,0.032771111,0.141258031
0.85,-0.180790365,0.032888412,0.14172098
0.86,-0.168761969,0.016100883,-0.284746409
0.87,-0.119050443,0.030376434,-0.436516404
0.88,0.107046068,-0.010490417,-0.042904422
0.89,0.234025776,-0.044231415,0.699390352
0.9,-0.089051902,-0.077939987,0.836869538
0.91,-0.08910656,-0.077906609,0.832964957
0.92,-0.04861021,-0.070734024,0.394655973
0.93,-0.044199049,-0.015694618,0.102055267
0.94,-0.102343798,0.024923325,-0.159377858
0.95,0.169125617,-0.023152351,-0.155676663
0.96,0.155449271,-0.014001846,0.045302056
0.97,-0.198213458,0.014354706,0.367979139
0.98,-0.458253026,0.002283096,0.579213798
0.99,-0.290836394,-0.016817093,0.403171063
1,-0.291208744,-0.016796112,0.398815781
1.01,-0.130690932,0.002364159,0.01479134
1.02,-0.117965281,-0.023885727,0.120289058
1.03,-0.116594851,-0.023777008,0.121188633
1.04,0.016876876,-0.023626328,0.307295501
1.05,-0.105287612,0.000509262,0.195256129
1.06,-0.002132237,0.046194077,-0.051723756
1.07,0.009083271,0.051085472,-0.146272063
1.08,-0.078478098,-0.030283928,0.058732837
1.09,0.032521248,-0.013469696,0.4022533
1.1,0.192580223,0.027168274,0.449016422
1.11,0.191093206,0.027022362,0.45086354
1.12,-0.047038913,0.050803185,0.081497401
1.13,-0.221913695,-0.030650139,-0.070289046
1.14,-0.163577676,-0.131181717,-0.123009488
1.15,-0.163700461,-0.131233215,-0.117383465
1.16,-0.197138488,-0.183930397,-0.007882349
1.17,-0.197259486,-0.183947563,-0.005911924
1.18,-0.077761769,-0.042715073,0.331773162
1.19,-0.106969416,0.029087067,0.349207103
1.2,-0.15973258,0.055412292,0.359513193
1.21,-0.147769749,0.005142212,0.289265573
1.22,-0.004714727,0.007489204,0.193622589
1.23,0.096592188,0.01210022,0.03493987
1.24,0.008439898,-8.39233E-05,-0.110031933
1.25,-0.105179668,-0.05527401,-0.104933739
1.26,0.035582483,-0.043385506,0.006560676
1.27,-0.099969566,0.052228928,0.154522821
1.28,-0.239050329,0.061781883,0.270756185
1.29,-0.238919973,0.061800003,0.271892488
1.3,0.043534577,0.016290665,0.019987945
1.31,0.041782796,0.016103745,0.023572817
1.32,-0.160865188,-0.185175896,0.49690035
1.33,-0.172915757,-0.233046532,0.321837694
1.34,0.008544743,-0.178052902,0.097337589
1.35,-0.044843555,-0.10149765,-0.025556687
1.36,-0.044722557,-0.101499558,-0.024184812
1.37,-0.074726224,-0.008021355,-0.091102414
1.38,0.171785712,0.061185837,0.14528957
1.39,-0.030289888,0.060874939,0.446882904
1.4,-0.164342821,0.086993217,0.58642906
1.41,-0.17276603,0.082108498,0.368657768
1.42,-0.173745096,0.082039833,0.366164178
1.43,-0.083313584,0.034099579,-0.061475195
1.44,-0.083089113,0.034099579,-0.058190182
1.45,-0.029805124,-0.126282692,-0.058597736
1.46,-0.098507941,-0.128622055,0.132845312
1.47,-0.245223939,-0.099728584,0.148676291
1.48,-0.122969508,-0.075569153,0.025621206
1.49,0.00222069,-0.065936089,-0.048047334
1.5,0.001920283,-0.044423103,0.096557684
1.51,0.001272917,-0.044499397,0.10024076
1.52,0.007181466,-0.00391674,0.130586505
1.53,0.072296977,0.060554504,0.122266121
1.54,0.103093743,0.065067291,0.082515061
1.55,-0.056778669,0.115170479,0.114630222
1.56,-0.334556937,0.060113907,0.077514254
1.57,-0.612949252,0.060274124,0.280801922
1.58,-0.437294245,-0.013646126,0.336863339
1.59,-0.216450334,-0.056460381,0.121154733
1.6,-0.171362102,-0.034725189,0.022179246
1.61,-0.123092115,-0.029670715,0.154901296
1.62,-0.04861486,0.032837868,0.245569259
1.63,-0.04649657,0.033040047,0.244712353
1.64,0.179793656,0.002022743,0.251652002
1.65,0.173570335,-0.02661705,0.368557066
1.66,0.127231181,-0.004910469,0.489714056
1.67,0.047833085,-0.007116318,0.38814038
1.68,0.049993217,-0.006903648,0.389465481
1.69,-0.216246903,0.007640839,-0.14513658
1.7,-0.213619173,0.007906914,-0.138582334
1.71,-0.338035286,0.06321907,-0.377693206
1.72,-0.253136456,0.168681145,-0.306543738
1.73,0.125925779,0.116091728,0.372541755
1.74,0.052662194,0.063509941,0.59677875
1.75,0.055445373,0.063788414,0.599674463
1.76,-0.265069306,-0.151183128,0.128321916
1.77,-0.259708047,-0.150629044,0.135247916
1.78,-0.124183774,-0.219665527,0.026264396
1.79,0.041168094,-0.295998573,0.079402991
1.8,0.041396618,-0.295938492,0.083832495
1.81,0.063812315,-0.07343483,0.502032042
1.82,-0.013775945,0.000695229,0.359496176
1.83,-0.098590553,0.065237045,0.007341959
1.84,-0.125843823,0.108282089,-0.11559096
1.85,-0.176627159,0.091480255,-0.156600654
1.86,-0.19330883,0.065190315,-0.061299756
1.87,-0.068211734,0.058078766,0.119574264
1.88,0.049231052,-0.008925438,0.464591742
1.89,0.123495638,-0.020879745,0.657158434
1.9,0.030946314,-0.006412506,0.512951791
1.91,0.103757739,-0.04220295,0.169805229
1.92,0.139607847,-0.113985062,-0.239144266
1.93,0.139172673,-0.113913536,-0.228605926
1.94,0.057556927,-0.147346497,-0.416473836
1.95,-0.093456626,-0.137721062,-0.245841593
1.96,-0.166027784,-0.125811577,0.346991569
1.97,-0.216760218,-0.080366135,0.523677468
1.98,-0.367233932,0.01541996,0.486542314
1.99,-0.365116477,0.015615463,0.485702932
2,-0.440482497,0.066267014,0.287541598
2.01,-0.326908886,0.100174904,-0.178720117
2.02,-0.183458269,0.078891754,-0.275251746
2.03,-0.022182822,0.055080414,-0.154152185
2.04,-0.022727907,0.055057526,-0.152129725
2.05,0.079387724,-0.052779198,0.395881563
2.06,0.079112113,-0.052830696,0.393403173
2.07,0.139911234,-0.038428307,0.602482081
2.08,0.149163067,-0.067230225,0.293573946
2.09,0.193611205,-0.076887131,0.069450259
2.1,0.139116943,-0.141692162,0.088074803
2.11,0.137368321,-0.141847611,0.089516819
2.12,-0.141545355,-0.149153709,-0.271118522
2.13,-0.163835645,0.006439209,-0.403389365
2.14,-0.272447407,0.066218376,0.026243202
2.15,-0.181884646,0.066143036,0.469195217
2.16,-0.182935953,0.065979958,0.463679075
2.17,0.075706005,0.039360046,0.708454669
2.18,-0.08150208,-0.068572998,0.269554257
2.19,-0.075462878,-0.051935196,-0.111091025
2.2,-0.076996922,-0.052055359,-0.108225115
2.21,0.030421972,0.014778137,-0.4119609
2.22,0.074393749,-0.011885643,-0.062601499
2.23,-0.067634344,0.006946564,0.510180891
2.24,-0.177321196,-0.043598175,1.079324007
2.25,-0.178319871,-0.0437994,1.070419431
2.26,-0.047344625,-0.027218819,0.494520664
2.27,-0.117680192,-0.072823524,-0.151925281
2.28,-0.154157817,-0.127902031,-0.492717892
2.29,-0.155139864,-0.127939224,-0.487398177
2.3,-0.058854699,-0.187963486,-0.290871918
2.31,-0.022119164,-0.224024773,0.053079482
2.32,-0.085286558,-0.075689316,0.238584966
2.33,-0.154401362,-0.058889389,0.296726763
2.34,0.047366738,-0.027694702,0.333196193
2.35,0.047139943,-0.027718544,0.33311671
2.36,-0.03446877,0.113536835,0.054548386
2.37,-0.103086412,0.106458664,0.035124063
2.38,-0.245757997,0.065865517,0.05837759
2.39,-0.316604257,0.046811104,0.183317095
2.4,-0.279936135,-0.039308548,0.161295742
2.41,-0.267917037,-0.077609062,0.059360173
2.42,-0.354780793,-0.072851181,0.090542957
2.43,-0.229094267,-0.135195732,0.248790652
2.44,0.118986428,-0.200185776,0.262118101
2.45,0.402221561,-0.22952652,0.248887599
2.46,0.464021951,-0.266177177,0.297282815
2.47,0.368617117,-0.183041573,0.324451089
2.48,0.319622338,-0.157290459,0.208999902
2.49,0.275931418,-0.042913437,0.078732401
2.5,0.110920012,-0.050562859,0.055815045
2.51,-0.005063653,0.047245026,0.053816054
2.52,-0.21121645,0.037384033,0.047128465
2.53,-0.212996066,0.037174225,0.04395042
2.54,-0.255540729,0.029801369,-0.032395661
2.55,-0.350501835,0.058389664,-0.126696527
2.56,-0.261607647,0.048623085,0.040241044
2.57,-0.20454067,-0.047422409,0.251560986
2.58,-0.208341777,-0.04780674,0.248221606
2.59,0.27424562,-0.280615807,0.825251937
2.6,0.113157451,-0.273976326,0.674892187
2.61,-0.117621422,-0.180951119,0.18476218
2.62,-0.021634042,-0.102144241,-0.320286512
