Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,-0.12957871,0.046586037,0.190232605
0.01,-0.102487505,0.063286781,0.257631898
0.02,-0.034821689,0.07277298,0.270053625
0.03,-0.034449339,0.072699547,0.266439676
0.04,-0.019431353,0.122943878,0.330687225
0.05,0.081071675,0.144459724,0.236031622
0.06,0.095265865,0.063011169,0.204282999
0.07,0.006359041,0.036626816,0.150414527
0.08,0.004977524,0.036529541,0.149490982
0.09,-0.113932014,0.026834488,-0.033221543
0.1,-0.16804868,0.048254967,0.05392082
0.11,-0.100675285,-0.006987572,-0.067425877
0.12,-0.025323629,-0.002443314,0.010976806
0.13,-0.030806303,-0.002828598,0.008034647
0.14,0.211589992,-0.07759285,0.691533864
0.15,0.176840574,-0.07571888,0.359917641
0.16,0.111627281,-0.03780365,0.128641248
0.17,-0.048731387,-0.026159287,0.117030591
0.18,-0.030011952,-0.009747505,0.174456045
0.19,-0.039319634,0.006541252,0.293285966
0.2,-0.044195056,0.04195118,0.439807534
0.21,-0.032216847,0.04381752,0.599092841
0.22,-0.100714088,0.045701981,0.544261873
0.23,-0.105358064,0.045326233,0.538055539
0.24,-0.050097406,-0.057789803,0.156903431
0.25,-0.010922551,-0.129691124,0.104900233
0.26,-0.107900977,-0.208742142,0.147485256
0.27,-0.06307435,-0.242259026,0.268298745
0.28,0.019603968,-0.201626778,0.229810447
0.29,-0.015954554,-0.189757347,0.148604468
0.3,-0.051520646,-0.173112869,0.148738027
0.31,-0.053459644,-0.173226357,0.148107812
0.32,-0.077337623,-0.075203896,0.101297103
0.33,-0.104188323,0.001233101,0.147170082
0.34,-0.128908455,0.032099724,0.34185499
0.35,-0.133016884,0.031826973,0.338638067
0.36,0.025158405,0.031556129,0.271963358
0.37,0.023668379,-0.02372551,0.244439572
0.38,0.015598595,-0.071791649,0.13882187
0.39,-0.126050472,-0.067147255,0.27973181
0.4,-0.127748489,-0.067257881,0.278696001
0.41,0.087880522,-0.165535927,0.209070817
0.42,0.010939687,-0.223109245,0.133586049
0.43,-0.015057653,-0.235147476,0.134976566
0.44,-0.007912189,-0.182585716,0.161766067
