Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,0.008199528,-0.099536896,-0.100602359
0.01,0.008763298,-0.099517822,-0.098052084
0.02,-0.157468736,-0.032458305,-0.087511405
0.03,-0.166123465,0.015453339,-0.090400472
0.04,-0.187710226,0.020251274,0.041989349
0.05,-0.187971219,0.020251274,0.038735606
0.06,-0.211569086,0.020272255,0.517493129
0.07,-0.103789046,0.022704124,0.367328793
0.08,-0.216238424,0.049052238,0.106231593
0.09,-0.214740291,0.049089432,0.105805479
0.1,-0.300986558,0.09942627,0.017539386
0.11,-0.043468475,0.020451546,-0.101055875
0.12,-0.042885423,0.020451546,-0.100107193
0.13,-0.089971006,-0.032187462,0.464560568
0.14,0.181197256,-0.094419479,0.591161728
0.15,0.179968,-0.094414711,0.587945402
0.16,0.159069896,-0.072914124,0.465604246
0.17,0.158419311,-0.072912216,0.463993281
0.18,-0.029190168,-0.041804314,0.322268128
0.19,-0.04302381,-0.240581513,-0.115249962
0.2,-0.270492971,-0.152056694,-0.206607461
0.21,-0.176104114,-0.147316933,-0.111174673
0.22,0.001541674,-0.298217773,0.052743681
0.23,0.05254522,-0.37731266,0.336378187
0.24,-0.013979062,-0.343869209,0.712930024
0.25,-0.03885524,-0.248137474,0.701051831
0.26,-0.15132089,-0.135597229,0.241673067
0.27,-0.058600292,-0.073354721,-0.126549497
0.28,0.165298909,-0.071007729,-0.188441545
0.29,0.042919457,-0.106999397,0.036660269
0.3,0.130613387,-0.123828888,0.642720223
0.31,0.186019704,-0.085559845,0.865240336
0.32,0.056439966,-0.030488968,0.780131102
0.33,0.05257979,-0.030441284,0.768214464
0.34,-0.121842414,0.046205521,-0.055404417
0.35,-0.38304168,0.113272667,-0.067631453
0.36,-0.381697536,0.113312721,-0.068084449
0.37,-0.062514931,-0.11652565,0.193258584
0.38,-0.063542232,-0.116560936,0.194624603
0.39,0.209340304,-0.226770401,0.507142305
0.4,0.03607282,-0.229185104,0.461855084
0.41,0.033633247,-0.265113831,0.27603662
0.42,0.045234323,-0.293879509,-0.013763666
0.43,0.044577032,-0.293933868,-0.010255948
0.44,-0.025730804,-0.126386643,-0.154335186
0.45,-0.174991846,0.019605637,-0.070184931
0.46,-0.309190452,0.086657524,0.033038944
0.47,-0.259079039,0.06510067,0.123856545
0.48,-0.182891265,0.079454422,0.266763687
0.49,-0.183226496,0.07946682,0.265506089
0.5,-0.180686101,0.019629478,0.462538987
0.51,-0.075805113,-0.030599594,0.21773231
0.52,-0.076720268,-0.064125061,-0.041607879
0.53,-0.127439365,-0.100016594,-0.105501674
0.54,-0.072670698,-0.100006104,-0.148127571
0.55,-0.070833251,-0.099989891,-0.145078123
0.56,0.059907213,-0.138303757,0.154545754
0.57,0.094633222,-0.174196243,0.236461699
0.58,0.095442489,-0.174167633,0.236277282
0.59,0.031890988,-0.001749992,0.113885179
0.6,-0.025699601,0.022195816,0.084711991
0.61,0.002417952,0.053305626,-0.03785342
0.62,-0.09225525,0.091580391,-0.092383683
0.63,-0.245581478,0.208883286,-0.131513119
0.64,-0.17555657,0.038860321,-0.140416056
0.65,-0.126274839,0.002898216,-0.146440998
0.66,-0.129009232,0.002842903,-0.145476252
0.67,-0.097049117,-0.064255714,0.155414805
0.68,0.026814654,-0.047488213,0.732702971
0.69,0.025312722,-0.047475815,0.727724612
0.7,0.190528199,-0.0378685,0.518731833
0.71,-0.020456523,0.019639015,0.23778218
0.72,0.038265139,0.031636238,-0.065885335
0.73,0.048542857,0.01964283,0.330730468
0.74,-0.157089979,0.019669533,0.702785254
0.75,-0.25808996,-0.018553734,0.730219424
0.76,-0.276264191,-0.032786369,0.365134835
0.77,-0.167047367,-0.09256649,-0.123179302
0.78,-0.180231407,-0.157196045,-0.261044771
0.79,-0.121452197,-0.181147575,-0.176535919
0.8,-0.068076715,-0.099732399,0.080036968
0.81,-0.017562851,-0.049435616,0.267774522
0.82,-0.046110302,0.020031929,0.220412567
0.83,0.057408154,0.020042419,0.07422851
0.84,-0.057427019,0.043964386,0.111910522
0.85,-0.056631193,0.043956757,0.113930628
0.86,-0.181929961,0.103826523,0.586176753
0.87,-0.18145971,0.103818893,0.587639809
0.88,-0.048729986,0.094165802,0.080262385
0.89,-0.221260116,0.060566902,0.089141048
0.9,-0.272777081,0.01980114,0.127167195
0.91,-0.129604951,-0.028102875,-0.012438335
0.92,-0.12829183,-0.028141022,-0.005886719
0.93,-0.050525278,-0.255643845,-0.164506465
0.94,-0.049198702,-0.255649567,-0.159506738
0.95,-0.214834228,-0.123937607,0.024899393
0.96,-0.293788135,-0.023326874,0.2347188
0.97,-0.372093439,0.019878387,0.506659031
0.98,-0.217545033,0.019997597,0.578999817
0.99,0.017700568,0.020104408,0.455441654
1,0.194030434,0.012979507,0.383445442
1.01,0.094105676,0.024980545,0.252236784
1.02,-0.084237739,0.044163704,0.194537431
1.03,-0.101335287,0.02025795,0.064230919
1.04,-0.135711238,0.017884254,-0.043344345
1.05,-0.13432242,0.017894745,-0.040824469
1.06,-0.268839657,0.010712624,-0.209771171
1.07,-0.339193165,0.020310402,-0.072001994
1.08,-0.338295937,0.020312309,-0.070863053
1.09,-0.070087984,-0.008444786,0.641850531
1.1,0.142231554,-0.221582413,0.673748732
1.11,-0.094189271,-0.21920681,0.326393664
1.12,-0.124512881,-0.216785431,-0.108758777
1.13,-0.114400655,-0.238363266,-0.466334701
1.14,-0.115778968,-0.238431931,-0.462216467
1.15,-0.074327081,-0.121214867,-0.483854353
1.16,0.11563918,0.003201485,0.745526969
1.17,0.142193571,0.019892693,1.015421271
1.18,-0.05143851,0.019888878,0.938538611
1.19,-0.147220478,0.048663139,0.409704417
1.2,-0.235769123,0.053458214,-0.083339825
1.21,-0.220236674,0.019892693,-0.194996297
1.22,-0.221806124,0.01982975,-0.192626059
1.23,-0.009138495,-0.035321236,0.020160973
1.24,-0.014844373,0.002918243,0.195622534
1.25,-0.017725185,0.002855301,0.196000427
1.26,0.080046475,-0.002028465,0.142284304
1.27,0.068245262,-0.002141953,0.088072762
1.28,0.032711446,-0.028575897,-0.042846479
1.29,0.027030408,-0.004750252,0.017513812
1.3,0.022588044,-0.0048666,0.021116808
1.31,0.000351444,0.01898098,0.25651592
1.32,-0.145824477,0.021256447,0.088758856
1.33,-0.153166667,0.021141052,0.088816717
1.34,-0.027041733,0.00187397,0.247675061
1.35,-0.084813625,-0.170619011,-0.01149784
1.36,-0.36518383,-0.062933922,0.106198058
1.37,-0.359091401,-0.062975883,0.168887392
1.38,-0.140364394,-0.110873222,0.128008246
1.39,-0.049638689,-0.091757774,0.253761888
1.4,-0.028450735,-0.017544746,0.335126162
1.41,0.072130583,0.018383026,0.389749199
1.42,0.161258698,-0.000768661,0.30591175
1.43,0.169969037,0.016000748,0.315143466
1.44,-0.021114029,0.025592804,0.407660395
1.45,-0.097638175,0.037621498,0.312678665
1.46,-0.137843996,0.018515587,0.200036779
1.47,-0.163921803,-0.022192955,0.163475007
1.48,-0.242756039,0.018512726,-0.109058194
1.49,-0.242311508,0.018461227,-0.104980566
1.5,-0.183621645,0.01837635,-0.173510134
1.51,-0.105073147,-0.156484604,-0.16898565
1.52,0.138924703,-0.21163559,0.408003509
1.53,0.142972231,-0.106331825,0.435642034
1.54,-0.093918502,-0.039310455,0.457970351
1.55,-0.093775004,0.018157959,0.510105491
1.56,-0.092947319,0.018177986,0.509709179
1.57,-0.103897527,-0.106340408,-0.178248853
1.58,-0.047389746,-0.072860718,-0.265785843
1.59,-0.091158234,-0.065713882,-0.03706716
1.6,-0.163067877,-0.022619247,0.193283707
1.61,-0.143750757,0.018116951,0.316940069
1.62,-0.102436803,0.022946358,0.301840991
1.63,-0.076794714,0.039750099,0.170648158
1.64,-0.047660019,0.044548988,0.139897943
1.65,-0.000807662,0.018216133,0.246543452
1.66,-0.001697306,0.018223763,0.24601008
1.67,-0.00255743,0.018210411,0.236288607
1.68,-0.239116281,0.018204689,0.335894138
1.69,0.008964665,-0.024920464,0.203658029
1.7,0.11899171,-0.11833477,0.046804279
1.71,0.028878815,-0.089680672,-0.015343264
1.72,-0.027255669,-0.032274246,0.067793071
1.73,-0.029496726,-0.032319069,0.070544712
1.74,0.072626553,0.003554344,0.081765771
1.75,0.095511973,0.005910873,0.199833423
1.76,0.050018489,-0.039571762,0.348230243
1.77,-0.144920513,0.003525734,0.132435113
1.78,-0.264307499,-0.008462906,0.030499265
1.79,-0.189227492,0.008295059,0.122481525
1.8,-0.210429043,0.017875671,0.251396507
1.81,-0.207446471,0.017897606,0.369577944
1.82,-0.139506891,0.008346558,0.163977832
1.83,-0.038153574,-0.037149429,-0.024725638
1.84,-0.025737084,-0.046746254,-0.010441311
1.85,-0.058528621,-0.037180901,0.158471644
1.86,0.018976063,-0.02281189,0.249493539
1.87,0.050608419,-0.0251894,0.25599274
1.88,0.065108217,-0.001257896,0.207838684
1.89,-0.054500606,-0.015620232,0.251350641
1.9,-0.054022178,-0.015636444,0.252309829
1.91,-0.110902578,-0.065940857,0.132527039
1.92,-0.210053429,0.082475662,0.122042626
1.93,-0.208887309,0.082446098,0.125944018
1.94,0.104563661,-0.022953987,0.206609204
1.95,0.100126773,-0.197769165,0.314496756
1.96,0.086937547,-0.140330315,0.165139794
1.97,-0.162428558,-0.044573784,0.116513349
1.98,-0.160655409,-0.044588089,0.117839336
