"Time (s)","Pressure (hPa)"
8.582963329E1,9.805327148E2
8.592912579E1,9.804162598E2
8.602861865E1,9.803452148E2
8.612811372E1,9.803286133E2
8.622761125E1,9.802885742E2
8.632711218E1,9.802966309E2
8.642661592E1,9.803708496E2
8.652612088E1,9.803317871E2
8.662562615E1,9.802539062E2
8.672513298E1,9.802429199E2
8.682464152E1,9.802331543E2
8.692415192E1,9.802714844E2
8.702366388E1,9.802697754E2
8.712317642E1,9.803588867E2
8.722269132E1,9.802626953E2
8.732220948E1,9.801923828E2
8.742173115E1,9.801994629E2
8.752125471E1,9.802097168E2
8.762078125E1,9.802646484E2
8.772031028E1,9.802646484E2
8.781984104E1,9.802065430E2
8.791937328E1,9.799929199E2
8.801890444E1,9.799929199E2
8.811843704E1,9.799809570E2
8.821797004E1,9.801235352E2
8.831750368E1,9.801235352E2
8.841703744E1,9.801687012E2
8.851657198E1,9.799824219E2
8.861610814E1,9.799824219E2
8.871564464E1,9.799660645E2
8.881518014E1,9.800178223E2
8.891471658E1,9.800178223E2
8.901425621E1,9.800983887E2
8.911379657E1,9.800295410E2
8.921333781E1,9.800295410E2
8.931287814E1,9.800590820E2
8.941241787E1,9.801379395E2
8.951195814E1,9.801379395E2
8.961149737E1,9.801979980E2
8.971103730E1,9.802641602E2
8.981057544E1,9.802641602E2
8.991011354E1,9.801948242E2
9.000965094E1,9.801982422E2
9.010918797E1,9.801982422E2
9.020872227E1,9.802224121E2
9.030825450E1,9.802312012E2
9.040778504E1,9.802312012E2
9.050731570E1,9.801337891E2
9.060684470E1,9.801242676E2
9.070637144E1,9.801242676E2
9.080589710E1,9.801796875E2
9.090542210E1,9.802507324E2
9.100494674E1,9.802507324E2
9.110447204E1,9.802663574E2
9.120399790E1,9.802099609E2
9.130352173E1,9.802099609E2
9.140304253E1,9.801979980E2
9.150256123E1,9.802038574E2
9.160207910E1,9.802038574E2
9.170159660E1,9.802634277E2
9.180111267E1,9.802360840E2
9.190062777E1,9.802360840E2
9.200013950E1,9.802624512E2
9.209964863E1,9.802663574E2
9.219915510E1,9.802663574E2
9.229866050E1,9.803923340E2
9.239816513E1,9.804516602E2
9.249766960E1,9.805153809E2
9.259717606E1,9.805388184E2
9.269668243E1,9.805168457E2
9.279619140E1,9.804580078E2
9.289570143E1,9.804035645E2
9.299521216E1,9.803735352E2
9.309472406E1,9.803479004E2
9.319423583E1,9.803503418E2
9.329375086E1,9.803525391E2
9.339326646E1,9.803151855E2
9.349278029E1,9.802500000E2
9.359229379E1,9.801975098E2
9.369180779E1,9.801499023E2
9.379132243E1,9.801147461E2
9.389083669E1,9.800859375E2
9.399035126E1,9.800695801E2
9.408986529E1,9.800415039E2
9.418937952E1,9.800070801E2
9.428889442E1,9.800124512E2
9.438841049E1,9.800190430E2
9.448792596E1,9.799912109E2
9.458744089E1,9.800107422E2
9.468695659E1,9.800095215E2
9.478647362E1,9.800046387E2
9.488599069E1,9.800168457E2
9.498550755E1,9.800354004E2
9.508502475E1,9.800576172E2
9.518454235E1,9.800700684E2
9.528406195E1,9.801000977E2
9.538358315E1,9.801369629E2
9.548310422E1,9.801374512E2
9.558262375E1,9.800937500E2
9.568214099E1,9.800886230E2
9.578165629E1,9.800654297E2
9.588117029E1,9.800512695E2
9.598068449E1,9.800395508E2
9.608019749E1,9.800205078E2
9.617971182E1,9.799858398E2
9.627922265E1,9.799868164E2
9.637873302E1,9.800000000E2
9.647824408E1,9.800402832E2
9.657775612E1,9.800935059E2
9.667726878E1,9.801184082E2
9.677678098E1,9.801425781E2
9.687629325E1,9.801352539E2
9.697580482E1,9.801203613E2
9.707531588E1,9.800949707E2
9.717482488E1,9.800700684E2
9.727433371E1,9.800673828E2
9.737384218E1,9.800942383E2
9.747335195E1,9.801279297E2
9.757286135E1,9.801398926E2
9.767237005E1,9.801350098E2
9.777188028E1,9.801403809E2
9.787139071E1,9.802290039E2
9.797090184E1,9.803010254E2
9.807041408E1,9.803178711E2
9.816992681E1,9.802563477E2
9.826943928E1,9.801960449E2
9.836895041E1,9.801494141E2
9.846846188E1,9.801071777E2
9.856797264E1,9.801284180E2
9.866748588E1,9.801579590E2
9.876699931E1,9.801801758E2
9.886651451E1,9.802021484E2
9.896602944E1,9.803833008E2
9.906554517E1,9.803562012E2
9.916506074E1,9.803334961E2
9.926457771E1,9.803627930E2
9.936409447E1,9.802387695E2
9.946361074E1,9.801330566E2
9.956313057E1,9.800778809E2
9.966265260E1,9.800419922E2
9.976217570E1,9.800302734E2
9.986169827E1,9.800605469E2
9.996122197E1,9.800605469E2
1.000607479E2,9.800639648E2
1.001602773E2,9.800825195E2
1.002598121E2,9.800825195E2
1.003593534E2,9.800952148E2
1.004589019E2,9.801252441E2
1.005584582E2,9.801252441E2
1.006580178E2,9.801625977E2
1.007575814E2,9.802150879E2
1.008571501E2,9.802150879E2
1.009567246E2,9.802189941E2
1.010563041E2,9.802277832E2
1.011558927E2,9.802277832E2
1.012554869E2,9.802656250E2
1.013550883E2,9.803178711E2
