"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.275946210E0,9.805936813E0,4.365405738E-1,-4.375874400E-1
2.300946210E0,9.860971451E0,3.982554078E-1,-4.375874400E-1
2.325946210E0,9.492177963E0,1.971087605E-1,-3.825525343E-1
2.350946210E0,9.790233612E0,1.277169138E-1,-4.040879309E-1
2.375946210E0,9.822686195E0,3.719343841E-1,-3.801597059E-1
2.400946210E0,9.674181938E0,7.369893789E-1,-2.998505831E-1
2.425946210E0,9.662218094E0,7.082754970E-1,-3.717848063E-1
2.450946210E0,9.735198975E0,8.149056435E-1,-4.698905349E-1
2.475946210E0,9.732806206E0,8.352446556E-1,-4.172484577E-1
2.500946210E0,9.856185913E0,7.381857634E-1,-4.902295470E-1
2.525946210E0,9.757930756E0,7.932206988E-1,-3.921238184E-1
2.550946210E0,9.516255379E0,6.233302951E-1,-3.526422381E-1
2.575946210E0,9.692128181E0,5.419743061E-1,-4.220340848E-1
2.600946210E0,9.906435013E0,5.647061467E-1,-4.866403043E-1
2.625946210E0,9.878917694E0,8.172984719E-1,-4.244269133E-1
2.650946210E0,9.705288887E0,9.106185436E-1,-3.502494097E-1
2.675946210E0,9.465856552E0,8.759226203E-1,-2.507977188E-1
2.700946210E0,9.527023315E0,5.455635786E-1,-4.411766827E-1
2.725946210E0,9.945917130E0,7.178468108E-1,-5.249254704E-1
2.750946210E0,9.783055305E0,9.177970290E-1,-5.620142221E-1
2.775946210E0,9.781859398E0,7.202396393E-1,-5.333003402E-1
2.800946210E0,9.699306488E0,4.437190592E-1,-2.998505831E-1
2.825946210E0,9.712467194E0,5.395814776E-1,-1.682453454E-1
2.850946210E0,9.744770050E0,5.790630579E-1,-2.519941330E-1
2.875946210E0,9.711270332E0,6.771687865E-1,-3.285644650E-1
2.900946210E0,9.646664619E0,6.149554253E-1,-5.416752100E-1
2.925946210E0,9.829864502E0,5.934200287E-1,-3.981058598E-1
2.950946210E0,9.720842361E0,7.130611539E-1,-5.261218548E-1
2.975946210E0,9.597611427E0,7.238288522E-1,-6.195915341E-1
3.000946210E0,9.531808853E0,8.220841289E-1,-4.567300081E-1
3.025946210E0,9.853793144E0,8.316554427E-1,-6.459125876E-1
3.050946210E0,9.803544044E0,6.855437160E-1,-3.813561201E-1
3.075946210E0,9.676574707E0,5.455635786E-1,-2.352443784E-1
3.100946210E0,9.578469276E0,6.807580590E-1,-2.615654171E-1
3.125946210E0,9.796365738E0,6.999006271E-1,-3.610171080E-1
3.150946210E0,9.807132721E0,6.472585201E-1,-5.404788256E-1
3.175946210E0,9.547362328E0,4.449154735E-1,-6.050850153E-1
3.200946210E0,9.530612946E0,1.408774406E-1,-4.555336237E-1
3.225946210E0,9.959077835E0,7.507480681E-2,-6.183950901E-1
3.250946210E0,9.790233612E0,5.238786340E-1,-4.483551383E-1
3.275946210E0,9.579665184E0,8.063812256E-1,-4.686941206E-1
3.300946210E0,9.583254814E0,9.046365023E-1,-5.309075117E-1
3.325946210E0,9.846614838E0,5.587241054E-1,-5.644070506E-1
3.350946210E0,9.730413437E0,4.449154735E-1,-5.057829022E-1
3.375946210E0,9.696913719E0,5.838487148E-1,-4.794618487E-1
3.400946210E0,9.851400375E0,6.580262184E-1,-5.739783049E-1
3.425946210E0,9.780662537E0,5.623133183E-1,-3.046362400E-1
3.450946210E0,9.692128181E0,4.999503791E-1,-3.586242795E-1
3.475946210E0,9.671789169E0,6.197410822E-1,-4.124628007E-1
3.500946210E0,9.616754532E0,7.836494446E-1,-5.452644825E-1
3.525946210E0,9.664610863E0,8.795118928E-1,-4.280161560E-1
3.550946210E0,9.646664619E0,7.657032609E-1,-2.316551358E-1
3.575946210E0,9.682557106E0,7.836494446E-1,-3.070290685E-1
3.600946210E0,9.896863937E0,5.238786340E-1,-2.950649559E-1
3.625946210E0,9.941131592E0,5.862415433E-1,-1.215853021E-1
3.650946210E0,9.798758507E0,6.520441771E-1,-3.885345757E-1
3.675946210E0,9.719645500E0,6.005984545E-1,-2.699403167E-1
3.700946210E0,9.668199539E0,5.551348329E-1,-5.703890920E-1
3.725946210E0,9.711270332E0,4.999503791E-1,-6.339484453E-1
3.750946210E0,9.698110580E0,3.539882004E-1,-5.835496187E-1
3.775946210E0,9.762716293E0,5.214858055E-1,-6.086742878E-1
3.800946210E0,9.771091461E0,4.879862666E-1,-6.098706722E-1
3.825946210E0,9.804739952E0,5.599204898E-1,-5.404788256E-1
3.850946210E0,9.728020668E0,7.118647099E-1,-5.560321808E-1
3.875946210E0,9.584450722E0,8.099704385E-1,-7.212864757E-1
3.900946210E0,9.683753014E0,9.022436738E-1,-7.308577895E-1
3.925946210E0,9.661021233E0,6.616154313E-1,-5.201398134E-1
3.950946210E0,9.686145782E0,6.771687865E-1,-6.050850153E-1
3.975946210E0,9.637093544E0,6.999006271E-1,-3.753740489E-1
4.000946210E0,9.744770050E0,8.962616324E-1,-4.495515525E-1
4.025946210E0,9.775876999E0,9.118149877E-1,-4.160520434E-1
4.050946210E0,9.661021233E0,8.603692651E-1,-3.261716366E-1
4.075946210E0,9.736394882E0,1.095015407E0,-3.849453330E-1
4.100946210E0,9.760323524E0,1.191924810E0,-4.064807594E-1
4.125946210E0,9.677771568E0,1.179960608E0,-3.406781256E-1
4.150946210E0,9.678967476E0,1.104586720E0,-4.256233275E-1
4.175946210E0,9.668199539E0,9.548857808E-1,-4.938187599E-1
4.200946210E0,9.665806770E0,8.735297918E-1,-4.674977362E-1
4.225946210E0,9.814311981E0,6.807580590E-1,-5.237290859E-1
4.250946210E0,9.881310463E0,7.501499057E-1,-3.394817114E-1
4.275946210E0,9.706484795E0,6.364908218E-1,-2.280659080E-1
4.300946210E0,9.600004196E0,6.544370055E-1,-4.435695112E-1
4.325946210E0,9.614361763E0,8.280661702E-1,-5.189434290E-1
4.350946210E0,9.801151276E0,6.592226624E-1,-5.596213937E-1
4.375946210E0,9.704092026E0,5.371887088E-1,-3.969094455E-1
4.400946210E0,9.763913155E0,7.034898400E-1,-3.634099364E-1
4.425946210E0,9.718449593E0,1.042223811E0,-4.483551383E-1
4.450946210E0,9.590433121E0,1.026670456E0,-4.220340848E-1
4.475946210E0,9.619147301E0,9.345467687E-1,-3.681955934E-1
4.500946210E0,9.843025208E0,9.824032187E-1,-2.747259438E-1
4.525946210E0,9.967452049E0,1.039831042E0,-3.321537077E-1
4.550946210E0,9.621540070E0,9.668499231E-1,-3.094218671E-1
4.575946210E0,9.625128746E0,7.968099117E-1,-3.813561201E-1
