"event","experiment time","system time","system time text"
"START",0.000000000E0,1649325789.316,"2022-04-07 12:03:09.316 UTC+02:00"
"PAUSE",1.011680491E2,1649325890.484,"2022-04-07 12:04:50.484 UTC+02:00"
